,emoji,meanings_en,meanings_ru
1435,🧕🏻,"[""headscarf""]","[""Головной шарф""]"
1436,🧕🏼,"[""headscarf""]","[""Головной шарф""]"
1437,🧕🏽,"[""headscarf""]","[""Головной шарф""]"
1438,🧕🏾,"[""headscarf""]","[""Головной шарф""]"
1439,🧕🏿,"[""headscarf""]","[""Головной шарф""]"
1440,🤵,"[""tuxedo"", ""groom"", ""suit""]","[""Текседо"", ""жених"", ""костюм""]"
1441,🤵🏻,"[""tuxedo""]","[""Текседо""]"
1442,🤵🏼,"[""tuxedo""]","[""Текседо""]"
1443,🤵🏽,"[""tuxedo""]","[""Текседо""]"
1444,🤵🏾,"[""tuxedo""]","[""Текседо""]"
1445,🤵🏿,"[""tuxedo""]","[""Текседо""]"
1446,🤵‍♂️,"[""tuxedo""]","[""Текседо""]"
1447,🤵‍♂,"[""tuxedo""]","[""Текседо""]"
1448,🤵🏻‍♂️,"[""tuxedo""]","[""Текседо""]"
1449,🤵🏻‍♂,"[""tuxedo""]","[""Текседо""]"
1450,🤵🏼‍♂️,"[""tuxedo""]","[""Текседо""]"
1451,🤵🏼‍♂,"[""tuxedo""]","[""Текседо""]"
1452,🤵🏽‍♂️,"[""tuxedo""]","[""Текседо""]"
1453,🤵🏽‍♂,"[""tuxedo""]","[""Текседо""]"
1454,🤵🏾‍♂️,"[""tuxedo""]","[""Текседо""]"
1455,🤵🏾‍♂,"[""tuxedo""]","[""Текседо""]"
1456,🤵🏿‍♂️,"[""tuxedo""]","[""Текседо""]"
1457,🤵🏿‍♂,"[""tuxedo""]","[""Текседо""]"
1458,🤵‍♀️,"[""tuxedo""]","[""Текседо""]"
1459,🤵‍♀,"[""tuxedo""]","[""Текседо""]"
1460,🤵🏻‍♀️,"[""tuxedo""]","[""Текседо""]"
1461,🤵🏻‍♀,"[""tuxedo""]","[""Текседо""]"
1462,🤵🏼‍♀️,"[""tuxedo""]","[""Текседо""]"
1463,🤵🏼‍♀,"[""tuxedo""]","[""Текседо""]"
1464,🤵🏽‍♀️,"[""tuxedo""]","[""Текседо""]"
1465,🤵🏽‍♀,"[""tuxedo""]","[""Текседо""]"
1466,🤵🏾‍♀️,"[""tuxedo""]","[""Текседо""]"
1467,🤵🏾‍♀,"[""tuxedo""]","[""Текседо""]"
1468,🤵🏿‍♀️,"[""tuxedo""]","[""Текседо""]"
1469,🤵🏿‍♀,"[""tuxedo""]","[""Текседо""]"
1470,👰,"[""veil""]","[""вуаль""]"
1471,👰🏻,"[""veil""]","[""вуаль""]"
1472,👰🏼,"[""veil""]","[""вуаль""]"
1473,👰🏽,"[""veil""]","[""вуаль""]"
1474,👰🏾,"[""veil""]","[""вуаль""]"
1475,👰🏿,"[""veil""]","[""вуаль""]"
1476,👰‍♂️,"[""veil""]","[""вуаль""]"
1477,👰‍♂,"[""veil""]","[""вуаль""]"
1478,👰🏻‍♂️,"[""veil""]","[""вуаль""]"
1479,👰🏻‍♂,"[""veil""]","[""вуаль""]"
1480,👰🏼‍♂️,"[""veil""]","[""вуаль""]"
1481,👰🏼‍♂,"[""veil""]","[""вуаль""]"
1482,👰🏽‍♂️,"[""veil""]","[""вуаль""]"
1483,👰🏽‍♂,"[""veil""]","[""вуаль""]"
1484,👰🏾‍♂️,"[""veil""]","[""вуаль""]"
1485,👰🏾‍♂,"[""veil""]","[""вуаль""]"
1486,👰🏿‍♂️,"[""veil""]","[""вуаль""]"
1487,👰🏿‍♂,"[""veil""]","[""вуаль""]"
1488,👰‍♀️,"[""veil""]","[""вуаль""]"
1489,👰‍♀,"[""veil""]","[""вуаль""]"
1490,👰🏻‍♀️,"[""veil""]","[""вуаль""]"
1491,👰🏻‍♀,"[""veil""]","[""вуаль""]"
1492,👰🏼‍♀️,"[""veil""]","[""вуаль""]"
1493,👰🏼‍♀,"[""veil""]","[""вуаль""]"
1494,👰🏽‍♀️,"[""veil""]","[""вуаль""]"
1495,👰🏽‍♀,"[""veil""]","[""вуаль""]"
1496,👰🏾‍♀️,"[""veil""]","[""вуаль""]"
1497,👰🏾‍♀,"[""veil""]","[""вуаль""]"
1498,👰🏿‍♀️,"[""veil""]","[""вуаль""]"
1499,👰🏿‍♀,"[""veil""]","[""вуаль""]"
1500,🤰,"[""pregnant woman"", ""pregnancy"", ""pregnant lady""]","[""беременная женщина"", ""беременность"", ""беременная леди""]"
1501,🤰🏻,"[""pregnant woman""]","[""беременная женщина""]"
1502,🤰🏼,"[""pregnant woman""]","[""беременная женщина""]"
1503,🤰🏽,"[""pregnant woman""]","[""беременная женщина""]"
1504,🤰🏾,"[""pregnant woman""]","[""беременная женщина""]"
1505,🤰🏿,"[""pregnant woman""]","[""беременная женщина""]"
1506,🤱,"[""breast-feeding"", ""breastfeeding""]","[""кормление грудью"", ""грудное вскармливание""]"
1507,🤱🏻,"[""breast-feeding""]","[""кормление грудью""]"
1508,🤱🏼,"[""breast-feeding""]","[""кормление грудью""]"
1509,🤱🏽,"[""breast-feeding""]","[""кормление грудью""]"
1510,🤱🏾,"[""breast-feeding""]","[""кормление грудью""]"
1511,🤱🏿,"[""breast-feeding""]","[""кормление грудью""]"
1512,👩‍🍼,[],[]
1513,👩🏻‍🍼,[],[]
1514,👩🏼‍🍼,[],[]
1515,👩🏽‍🍼,[],[]
1516,👩🏾‍🍼,[],[]
1517,👩🏿‍🍼,[],[]
1518,👨‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1519,👨🏻‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1520,👨🏼‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1521,👨🏽‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1522,👨🏾‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1523,👨🏿‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1524,🧑‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1525,🧑🏻‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1526,🧑🏼‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1527,🧑🏽‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1528,🧑🏾‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1529,🧑🏿‍🍼,"[""feeding baby""]","[""кормить ребенка""]"
1530,👼,"[""baby angel"", ""angel"", ""cherub"", ""cupid"", ""putto""]","[""baby ангел"", ""ангел"", ""черв"", ""Чашка"", ""Ставки""]"
1531,👼🏻,"[""baby angel""]","[""baby ангел""]"
1532,👼🏼,"[""baby angel""]","[""baby ангел""]"
1533,👼🏽,"[""baby angel""]","[""baby ангел""]"
1534,👼🏾,"[""baby angel""]","[""baby ангел""]"
1535,👼🏿,"[""baby angel""]","[""baby ангел""]"
1536,🎅,"[""santa claus"", ""saint nicholas"", ""santa claus"", ""sinterklaas""]","[""Санта Клаус"", ""святые нихолас"", ""Санта Клаус"", ""Синтерклаас""]"
1537,🎅🏻,"[""santa claus""]","[""Санта Клаус""]"
1538,🎅🏼,"[""santa claus""]","[""Санта Клаус""]"
1539,🎅🏽,"[""santa claus""]","[""Санта Клаус""]"
1540,🎅🏾,"[""santa claus""]","[""Санта Клаус""]"
1541,🎅🏿,"[""santa claus""]","[""Санта Клаус""]"
1542,🤶,"[""mrs. claus"", ""mrs claus""]","[""мс. Клаус"", ""мрс клаус""]"
1543,🤶🏻,"[""mrs. claus""]","[""мс. Клаус""]"
1544,🤶🏼,"[""mrs. claus""]","[""мс. Клаус""]"
1545,🤶🏽,"[""mrs. claus""]","[""мс. Клаус""]"
1546,🤶🏾,"[""mrs. claus""]","[""мс. Клаус""]"
1547,🤶🏿,"[""mrs. claus""]","[""мс. Клаус""]"
1548,🧑‍🎄,"[""mx claus""]","[""мкс клаус""]"
1549,🧑🏻‍🎄,"[""mx claus""]","[""мкс клаус""]"
1550,🧑🏼‍🎄,"[""mx claus""]","[""мкс клаус""]"
1551,🧑🏽‍🎄,"[""mx claus""]","[""мкс клаус""]"
1552,🧑🏾‍🎄,"[""mx claus""]","[""мкс клаус""]"
1553,🧑🏿‍🎄,"[""mx claus""]","[""мкс клаус""]"
1554,🦸,"[""superhero""]","[""супергеро""]"
1555,🦸🏻,"[""superhero""]","[""супергеро""]"
1556,🦸🏼,"[""superhero""]","[""супергеро""]"
1557,🦸🏽,"[""superhero""]","[""супергеро""]"
1558,🦸🏾,"[""superhero""]","[""супергеро""]"
1559,🦸🏿,"[""superhero""]","[""супергеро""]"
1560,🦸‍♂️,"[""superhero""]","[""супергеро""]"
1561,🦸‍♂,"[""superhero""]","[""супергеро""]"
1562,🦸🏻‍♂️,"[""superhero""]","[""супергеро""]"
1563,🦸🏻‍♂,"[""superhero""]","[""супергеро""]"
1564,🦸🏼‍♂️,"[""superhero""]","[""супергеро""]"
1565,🦸🏼‍♂,"[""superhero""]","[""супергеро""]"
1566,🦸🏽‍♂️,"[""superhero""]","[""супергеро""]"
1567,🦸🏽‍♂,"[""superhero""]","[""супергеро""]"
1568,🦸🏾‍♂️,"[""superhero""]","[""супергеро""]"
1569,🦸🏾‍♂,"[""superhero""]","[""супергеро""]"
1570,🦸🏿‍♂️,"[""superhero""]","[""супергеро""]"
1571,🦸🏿‍♂,"[""superhero""]","[""супергеро""]"
1572,🦸‍♀️,[],[]
1573,🦸‍♀,[],[]
1574,🦸🏻‍♀️,[],[]
1575,🦸🏻‍♀,[],[]
1576,🦸🏼‍♀️,[],[]
1577,🦸🏼‍♀,[],[]
1578,🦸🏽‍♀️,[],[]
1579,🦸🏽‍♀,[],[]
1580,🦸🏾‍♀️,[],[]
1581,🦸🏾‍♀,[],[]
1582,🦸🏿‍♀️,[],[]
1583,🦸🏿‍♀,[],[]
1584,🦹,"[""supervillain""]","[""супервиллаин""]"
1585,🦹🏻,"[""supervillain""]","[""супервиллаин""]"
1586,🦹🏼,"[""supervillain""]","[""супервиллаин""]"
1587,🦹🏽,"[""supervillain""]","[""супервиллаин""]"
1588,🦹🏾,"[""supervillain""]","[""супервиллаин""]"
1589,🦹🏿,"[""supervillain""]","[""супервиллаин""]"
1590,🦹‍♂️,"[""supervillain""]","[""супервиллаин""]"
1591,🦹‍♂,"[""supervillain""]","[""супервиллаин""]"
1592,🦹🏻‍♂️,"[""supervillain""]","[""супервиллаин""]"
1593,🦹🏻‍♂,"[""supervillain""]","[""супервиллаин""]"
1594,🦹🏼‍♂️,"[""supervillain""]","[""супервиллаин""]"
1595,🦹🏼‍♂,"[""supervillain""]","[""супервиллаин""]"
1596,🦹🏽‍♂️,"[""supervillain""]","[""супервиллаин""]"
1597,🦹🏽‍♂,"[""supervillain""]","[""супервиллаин""]"
1598,🦹🏾‍♂️,"[""supervillain""]","[""супервиллаин""]"
1599,🦹🏾‍♂,"[""supervillain""]","[""супервиллаин""]"
1600,🦹🏿‍♂️,"[""supervillain""]","[""супервиллаин""]"
1601,🦹🏿‍♂,"[""supervillain""]","[""супервиллаин""]"
1602,🦹‍♀️,[],[]
1603,🦹‍♀,[],[]
1604,🦹🏻‍♀️,[],[]
1605,🦹🏻‍♀,[],[]
1606,🦹🏼‍♀️,[],[]
1607,🦹🏼‍♀,[],[]
1608,🦹🏽‍♀️,[],[]
1609,🦹🏽‍♀,[],[]
1610,🦹🏾‍♀️,[],[]
1611,🦹🏾‍♀,[],[]
1612,🦹🏿‍♀️,[],[]
1613,🦹🏿‍♀,[],[]
1614,🧙,"[""mage"", ""sorcerer"", ""sorceress"", ""witch"", ""wizard""]","[""Клетка"", ""колдун"", ""согресс"", ""ведьма"", ""мастер""]"
1615,🧙🏻,"[""mage""]","[""Клетка""]"
1616,🧙🏼,"[""mage""]","[""Клетка""]"
1617,🧙🏽,"[""mage""]","[""Клетка""]"
1618,🧙🏾,"[""mage""]","[""Клетка""]"
1619,🧙🏿,"[""mage""]","[""Клетка""]"
1620,🧙‍♂️,"[""mage"", ""wizard""]","[""Клетка"", ""мастер""]"
1621,🧙‍♂,"[""mage"", ""wizard""]","[""Клетка"", ""мастер""]"
1622,🧙🏻‍♂️,"[""mage""]","[""Клетка""]"
1623,🧙🏻‍♂,"[""mage""]","[""Клетка""]"
1624,🧙🏼‍♂️,"[""mage""]","[""Клетка""]"
1625,🧙🏼‍♂,"[""mage""]","[""Клетка""]"
1626,🧙🏽‍♂️,"[""mage""]","[""Клетка""]"
1627,🧙🏽‍♂,"[""mage""]","[""Клетка""]"
1628,🧙🏾‍♂️,"[""mage""]","[""Клетка""]"
1629,🧙🏾‍♂,"[""mage""]","[""Клетка""]"
1630,🧙🏿‍♂️,"[""mage""]","[""Клетка""]"
1631,🧙🏿‍♂,"[""mage""]","[""Клетка""]"
1632,🧙‍♀️,"[""witch""]","[""ведьма""]"
1633,🧙‍♀,"[""witch""]","[""ведьма""]"
1634,🧙🏻‍♀️,[],[]
1635,🧙🏻‍♀,[],[]
1636,🧙🏼‍♀️,[],[]
1637,🧙🏼‍♀,[],[]
1638,🧙🏽‍♀️,[],[]
1639,🧙🏽‍♀,[],[]
1640,🧙🏾‍♀️,[],[]
1641,🧙🏾‍♀,[],[]
1642,🧙🏿‍♀️,[],[]
1643,🧙🏿‍♀,[],[]
1644,🧚,"[""fairy""]","[""фея""]"
1645,🧚🏻,"[""fairy""]","[""фея""]"
1646,🧚🏼,"[""fairy""]","[""фея""]"
1647,🧚🏽,"[""fairy""]","[""фея""]"
1648,🧚🏾,"[""fairy""]","[""фея""]"
1649,🧚🏿,"[""fairy""]","[""фея""]"
1650,🧚‍♂️,"[""fairy""]","[""фея""]"
1651,🧚‍♂,"[""fairy""]","[""фея""]"
1652,🧚🏻‍♂️,"[""fairy""]","[""фея""]"
1653,🧚🏻‍♂,"[""fairy""]","[""фея""]"
1654,🧚🏼‍♂️,"[""fairy""]","[""фея""]"
1655,🧚🏼‍♂,"[""fairy""]","[""фея""]"
1656,🧚🏽‍♂️,"[""fairy""]","[""фея""]"
1657,🧚🏽‍♂,"[""fairy""]","[""фея""]"
1658,🧚🏾‍♂️,"[""fairy""]","[""фея""]"
1659,🧚🏾‍♂,"[""fairy""]","[""фея""]"
1660,🧚🏿‍♂️,"[""fairy""]","[""фея""]"
1661,🧚🏿‍♂,"[""fairy""]","[""фея""]"
1662,🧚‍♀️,[],[]
1663,🧚‍♀,[],[]
1664,🧚🏻‍♀️,[],[]
1665,🧚🏻‍♀,[],[]
1666,🧚🏼‍♀️,[],[]
1667,🧚🏼‍♀,[],[]
1668,🧚🏽‍♀️,[],[]
1669,🧚🏽‍♀,[],[]
1670,🧚🏾‍♀️,[],[]
1671,🧚🏾‍♀,[],[]
1672,🧚🏿‍♀️,[],[]
1673,🧚🏿‍♀,[],[]
1674,🧛,"[""vampire"", ""dracula""]","[""вампир"", ""Дракула""]"
1675,🧛🏻,"[""vampire""]","[""вампир""]"
1676,🧛🏼,"[""vampire""]","[""вампир""]"
1677,🧛🏽,"[""vampire""]","[""вампир""]"
1678,🧛🏾,"[""vampire""]","[""вампир""]"
1679,🧛🏿,"[""vampire""]","[""вампир""]"
1680,🧛‍♂️,"[""vampire"", ""dracula""]","[""вампир"", ""Дракула""]"
1681,🧛‍♂,"[""vampire"", ""dracula""]","[""вампир"", ""Дракула""]"
1682,🧛🏻‍♂️,"[""vampire""]","[""вампир""]"
1683,🧛🏻‍♂,"[""vampire""]","[""вампир""]"
1684,🧛🏼‍♂️,"[""vampire""]","[""вампир""]"
1685,🧛🏼‍♂,"[""vampire""]","[""вампир""]"
1686,🧛🏽‍♂️,"[""vampire""]","[""вампир""]"
1687,🧛🏽‍♂,"[""vampire""]","[""вампир""]"
1688,🧛🏾‍♂️,"[""vampire""]","[""вампир""]"
1689,🧛🏾‍♂,"[""vampire""]","[""вампир""]"
1690,🧛🏿‍♂️,"[""vampire""]","[""вампир""]"
1691,🧛🏿‍♂,"[""vampire""]","[""вампир""]"
1692,🧛‍♀️,[],[]
1693,🧛‍♀,[],[]
1694,🧛🏻‍♀️,[],[]
1695,🧛🏻‍♀,[],[]
1696,🧛🏼‍♀️,[],[]
1697,🧛🏼‍♀,[],[]
1698,🧛🏽‍♀️,[],[]
1699,🧛🏽‍♀,[],[]
1700,🧛🏾‍♀️,[],[]
1701,🧛🏾‍♀,[],[]
1702,🧛🏿‍♀️,[],[]
1703,🧛🏿‍♀,[],[]
1704,🧜,"[""merperson"", ""merboy"", ""mergirl"", ""mermaid"", ""merman""]","[""merperson"", ""merboy"", ""mergirl"", ""Русалка"", ""merman""]"
1705,🧜🏻,"[""merperson""]","[""merperson""]"
1706,🧜🏼,"[""merperson""]","[""merperson""]"
1707,🧜🏽,"[""merperson""]","[""merperson""]"
1708,🧜🏾,"[""merperson""]","[""merperson""]"
1709,🧜🏿,"[""merperson""]","[""merperson""]"
1710,🧜‍♂️,"[""merman""]","[""merman""]"
1711,🧜‍♂,"[""merman""]","[""merman""]"
1712,🧜🏻‍♂️,"[""merman""]","[""merman""]"
1713,🧜🏻‍♂,"[""merman""]","[""merman""]"
1714,🧜🏼‍♂️,"[""merman""]","[""merman""]"
1715,🧜🏼‍♂,"[""merman""]","[""merman""]"
1716,🧜🏽‍♂️,"[""merman""]","[""merman""]"
1717,🧜🏽‍♂,"[""merman""]","[""merman""]"
1718,🧜🏾‍♂️,"[""merman""]","[""merman""]"
1719,🧜🏾‍♂,"[""merman""]","[""merman""]"
1720,🧜🏿‍♂️,"[""merman""]","[""merman""]"
1721,🧜🏿‍♂,"[""merman""]","[""merman""]"
1722,🧜‍♀️,"[""mermaid""]","[""Русалка""]"
1723,🧜‍♀,"[""mermaid""]","[""Русалка""]"
1724,🧜🏻‍♀️,"[""mermaid""]","[""Русалка""]"
1725,🧜🏻‍♀,"[""mermaid""]","[""Русалка""]"
1726,🧜🏼‍♀️,"[""mermaid""]","[""Русалка""]"
1727,🧜🏼‍♀,"[""mermaid""]","[""Русалка""]"
1728,🧜🏽‍♀️,"[""mermaid""]","[""Русалка""]"
1729,🧜🏽‍♀,"[""mermaid""]","[""Русалка""]"
1730,🧜🏾‍♀️,"[""mermaid""]","[""Русалка""]"
1731,🧜🏾‍♀,"[""mermaid""]","[""Русалка""]"
1732,🧜🏿‍♀️,"[""mermaid""]","[""Русалка""]"
1733,🧜🏿‍♀,"[""mermaid""]","[""Русалка""]"
1734,🧝,"[""elf"", ""legolas""]","[""эльф"", ""легола""]"
1735,🧝🏻,"[""elf""]","[""эльф""]"
1736,🧝🏼,"[""elf""]","[""эльф""]"
1737,🧝🏽,"[""elf""]","[""эльф""]"
1738,🧝🏾,"[""elf""]","[""эльф""]"
1739,🧝🏿,"[""elf""]","[""эльф""]"
1740,🧝‍♂️,"[""elf""]","[""эльф""]"
1741,🧝‍♂,"[""elf""]","[""эльф""]"
1742,🧝🏻‍♂️,"[""elf""]","[""эльф""]"
1743,🧝🏻‍♂,"[""elf""]","[""эльф""]"
1744,🧝🏼‍♂️,"[""elf""]","[""эльф""]"
1745,🧝🏼‍♂,"[""elf""]","[""эльф""]"
1746,🧝🏽‍♂️,"[""elf""]","[""эльф""]"
1747,🧝🏽‍♂,"[""elf""]","[""эльф""]"
1748,🧝🏾‍♂️,"[""elf""]","[""эльф""]"
1749,🧝🏾‍♂,"[""elf""]","[""эльф""]"
1750,🧝🏿‍♂️,"[""elf""]","[""эльф""]"
1751,🧝🏿‍♂,"[""elf""]","[""эльф""]"
1752,🧝‍♀️,[],[]
1753,🧝‍♀,[],[]
1754,🧝🏻‍♀️,[],[]
1755,🧝🏻‍♀,[],[]
1756,🧝🏼‍♀️,[],[]
1757,🧝🏼‍♀,[],[]
1758,🧝🏽‍♀️,[],[]
1759,🧝🏽‍♀,[],[]
1760,🧝🏾‍♀️,[],[]
1761,🧝🏾‍♀,[],[]
1762,🧝🏿‍♀️,[],[]
1763,🧝🏿‍♀,[],[]
1764,🧞,"[""genie"", ""djinni"", ""jinni""]","[""гени"", ""Джинни"", ""ДЖИННИ""]"
1765,🧞‍♂️,"[""genie""]","[""гени""]"
1766,🧞‍♂,"[""genie""]","[""гени""]"
1767,🧞‍♀️,[],[]
1768,🧞‍♀,[],[]
1769,🧟,"[""zombie""]","[""зомби""]"
1770,🧟‍♂️,"[""zombie""]","[""зомби""]"
1771,🧟‍♂,"[""zombie""]","[""зомби""]"
1772,🧟‍♀️,[],[]
1773,🧟‍♀,[],[]
1774,💆,"[""getting massage"", ""head massage"", ""massaging""]","[""получение массажа"", ""массаж головы"", ""Массив""]"
1775,💆🏻,"[""getting massage""]","[""получение массажа""]"
1776,💆🏼,"[""getting massage""]","[""получение массажа""]"
1777,💆🏽,"[""getting massage""]","[""получение массажа""]"
1778,💆🏾,"[""getting massage""]","[""получение массажа""]"
1779,💆🏿,"[""getting massage""]","[""получение массажа""]"
1780,💆‍♂️,"[""getting massage""]","[""получение массажа""]"
1781,💆‍♂,"[""getting massage""]","[""получение массажа""]"
1782,💆🏻‍♂️,"[""getting massage""]","[""получение массажа""]"
1783,💆🏻‍♂,"[""getting massage""]","[""получение массажа""]"
1784,💆🏼‍♂️,"[""getting massage""]","[""получение массажа""]"
1785,💆🏼‍♂,"[""getting massage""]","[""получение массажа""]"
1786,💆🏽‍♂️,"[""getting massage""]","[""получение массажа""]"
1787,💆🏽‍♂,"[""getting massage""]","[""получение массажа""]"
1788,💆🏾‍♂️,"[""getting massage""]","[""получение массажа""]"
1789,💆🏾‍♂,"[""getting massage""]","[""получение массажа""]"
1790,💆🏿‍♂️,"[""getting massage""]","[""получение массажа""]"
1791,💆🏿‍♂,"[""getting massage""]","[""получение массажа""]"
1792,💆‍♀️,[],[]
1793,💆‍♀,[],[]
1794,💆🏻‍♀️,[],[]
1795,💆🏻‍♀,[],[]
1796,💆🏼‍♀️,[],[]
1797,💆🏼‍♀,[],[]
1798,💆🏽‍♀️,[],[]
1799,💆🏽‍♀,[],[]
1800,💆🏾‍♀️,[],[]
1801,💆🏾‍♀,[],[]
1802,💆🏿‍♀️,[],[]
1803,💆🏿‍♀,[],[]
1804,💇,"[""getting haircut"", ""cutting hair"", ""hairdresser""]","[""получать стрижку"", ""резки волос"", ""парикмахер""]"
1805,💇🏻,"[""getting haircut""]","[""получать стрижку""]"
1806,💇🏼,"[""getting haircut""]","[""получать стрижку""]"
1807,💇🏽,"[""getting haircut""]","[""получать стрижку""]"
1808,💇🏾,"[""getting haircut""]","[""получать стрижку""]"
1809,💇🏿,"[""getting haircut""]","[""получать стрижку""]"
1810,💇‍♂️,"[""getting haircut""]","[""получать стрижку""]"
1811,💇‍♂,"[""getting haircut""]","[""получать стрижку""]"
1812,💇🏻‍♂️,"[""getting haircut""]","[""получать стрижку""]"
1813,💇🏻‍♂,"[""getting haircut""]","[""получать стрижку""]"
1814,💇🏼‍♂️,"[""getting haircut""]","[""получать стрижку""]"
1815,💇🏼‍♂,"[""getting haircut""]","[""получать стрижку""]"
1816,💇🏽‍♂️,"[""getting haircut""]","[""получать стрижку""]"
1817,💇🏽‍♂,"[""getting haircut""]","[""получать стрижку""]"
1818,💇🏾‍♂️,"[""getting haircut""]","[""получать стрижку""]"
1819,💇🏾‍♂,"[""getting haircut""]","[""получать стрижку""]"
1820,💇🏿‍♂️,"[""getting haircut""]","[""получать стрижку""]"
1821,💇🏿‍♂,"[""getting haircut""]","[""получать стрижку""]"
1822,💇‍♀️,[],[]
1823,💇‍♀,[],[]
1824,💇🏻‍♀️,[],[]
1825,💇🏻‍♀,[],[]
1826,💇🏼‍♀️,[],[]
1827,💇🏼‍♀,[],[]
1828,💇🏽‍♀️,[],[]
1829,💇🏽‍♀,[],[]
1830,💇🏾‍♀️,[],[]
1831,💇🏾‍♀,[],[]
1832,💇🏿‍♀️,[],[]
1833,💇🏿‍♀,[],[]
1834,🚶,"[""walking"", ""walker"", ""walking""]","[""пешком"", ""пеший"", ""пешком""]"
1835,🚶🏻,"[""walking""]","[""пешком""]"
1836,🚶🏼,"[""walking""]","[""пешком""]"
1837,🚶🏽,"[""walking""]","[""пешком""]"
1838,🚶🏾,"[""walking""]","[""пешком""]"
1839,🚶🏿,"[""walking""]","[""пешком""]"
1840,🚶‍♂️,"[""walking""]","[""пешком""]"
1841,🚶‍♂,"[""walking""]","[""пешком""]"
1842,🚶🏻‍♂️,"[""walking""]","[""пешком""]"
1843,🚶🏻‍♂,"[""walking""]","[""пешком""]"
1844,🚶🏼‍♂️,"[""walking""]","[""пешком""]"
1845,🚶🏼‍♂,"[""walking""]","[""пешком""]"
1846,🚶🏽‍♂️,"[""walking""]","[""пешком""]"
1847,🚶🏽‍♂,"[""walking""]","[""пешком""]"
1848,🚶🏾‍♂️,"[""walking""]","[""пешком""]"
1849,🚶🏾‍♂,"[""walking""]","[""пешком""]"
1850,🚶🏿‍♂️,"[""walking""]","[""пешком""]"
1851,🚶🏿‍♂,"[""walking""]","[""пешком""]"
1852,🚶‍♀️,[],[]
1853,🚶‍♀,[],[]
1854,🚶🏻‍♀️,[],[]
1855,🚶🏻‍♀,[],[]
1856,🚶🏼‍♀️,[],[]
1857,🚶🏼‍♀,[],[]
1858,🚶🏽‍♀️,[],[]
1859,🚶🏽‍♀,[],[]
1860,🚶🏾‍♀️,[],[]
1861,🚶🏾‍♀,[],[]
1862,🚶🏿‍♀️,[],[]
1863,🚶🏿‍♀,[],[]
1864,🧍,"[""standing""]","[""стоя""]"
1865,🧍🏻,"[""standing""]","[""стоя""]"
1866,🧍🏼,"[""standing""]","[""стоя""]"
1867,🧍🏽,"[""standing""]","[""стоя""]"
1868,🧍🏾,"[""standing""]","[""стоя""]"
1869,🧍🏿,"[""standing""]","[""стоя""]"
1870,🧍‍♂️,"[""standing""]","[""стоя""]"
1871,🧍‍♂,"[""standing""]","[""стоя""]"
1872,🧍🏻‍♂️,"[""standing""]","[""стоя""]"
1873,🧍🏻‍♂,"[""standing""]","[""стоя""]"
1874,🧍🏼‍♂️,"[""standing""]","[""стоя""]"
1875,🧍🏼‍♂,"[""standing""]","[""стоя""]"
1876,🧍🏽‍♂️,"[""standing""]","[""стоя""]"
1877,🧍🏽‍♂,"[""standing""]","[""стоя""]"
1878,🧍🏾‍♂️,"[""standing""]","[""стоя""]"
1879,🧍🏾‍♂,"[""standing""]","[""стоя""]"
1880,🧍🏿‍♂️,"[""standing""]","[""стоя""]"
1881,🧍🏿‍♂,"[""standing""]","[""стоя""]"
1882,🧍‍♀️,[],[]
1883,🧍‍♀,[],[]
1884,🧍🏻‍♀️,[],[]
1885,🧍🏻‍♀,[],[]
1886,🧍🏼‍♀️,[],[]
1887,🧍🏼‍♀,[],[]
1888,🧍🏽‍♀️,[],[]
1889,🧍🏽‍♀,[],[]
1890,🧍🏾‍♀️,[],[]
1891,🧍🏾‍♀,[],[]
1892,🧍🏿‍♀️,[],[]
1893,🧍🏿‍♀,[],[]
1894,🧎,"[""kneeling""]","[""колени""]"
1895,🧎🏻,"[""kneeling""]","[""колени""]"
1896,🧎🏼,"[""kneeling""]","[""колени""]"
1897,🧎🏽,"[""kneeling""]","[""колени""]"
1898,🧎🏾,"[""kneeling""]","[""колени""]"
1899,🧎🏿,"[""kneeling""]","[""колени""]"
1900,🧎‍♂️,"[""kneeling""]","[""колени""]"
1901,🧎‍♂,"[""kneeling""]","[""колени""]"
1902,🧎🏻‍♂️,"[""kneeling""]","[""колени""]"
1903,🧎🏻‍♂,"[""kneeling""]","[""колени""]"
1904,🧎🏼‍♂️,"[""kneeling""]","[""колени""]"
1905,🧎🏼‍♂,"[""kneeling""]","[""колени""]"
1906,🧎🏽‍♂️,"[""kneeling""]","[""колени""]"
1907,🧎🏽‍♂,"[""kneeling""]","[""колени""]"
1908,🧎🏾‍♂️,"[""kneeling""]","[""колени""]"
1909,🧎🏾‍♂,"[""kneeling""]","[""колени""]"
1910,🧎🏿‍♂️,"[""kneeling""]","[""колени""]"
