,emoji,keywords_ru
742,💁🏻‍♂,"{""свет"": 566, ""Типинг"": 30, ""человек"": 1003, ""рука"": 119}"
743,💁🏼‍♂️,"{""средний свет"": 561, ""Типинг"": 30, ""человек"": 1003, ""рука"": 119}"
744,💁🏼‍♂,"{""средний свет"": 561, ""Типинг"": 30, ""человек"": 1003, ""рука"": 119}"
745,💁🏽‍♂️,"{""Типинг"": 30, ""человек"": 1003, ""средний"": 566, ""рука"": 119}"
746,💁🏽‍♂,"{""Типинг"": 30, ""человек"": 1003, ""средний"": 566, ""рука"": 119}"
747,💁🏾‍♂️,"{""средний парк"": 561, ""Типинг"": 30, ""человек"": 1003, ""рука"": 119}"
748,💁🏾‍♂,"{""средний парк"": 561, ""Типинг"": 30, ""человек"": 1003, ""рука"": 119}"
749,💁🏿‍♂️,"{""Типинг"": 30, ""человек"": 1003, ""рука"": 119, ""темнота"": 564}"
750,💁🏿‍♂,"{""Типинг"": 30, ""человек"": 1003, ""рука"": 119, ""темнота"": 564}"
751,💁‍♀️,"{""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
752,💁‍♀,"{""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
753,💁🏻‍♀️,"{""свет"": 566, ""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
754,💁🏻‍♀,"{""свет"": 566, ""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
755,💁🏼‍♀️,"{""средний свет"": 561, ""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
756,💁🏼‍♀,"{""средний свет"": 561, ""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
757,💁🏽‍♀️,"{""Типинг"": 30, ""средний"": 566, ""рука"": 119, ""женщина"": 1012}"
758,💁🏽‍♀,"{""Типинг"": 30, ""средний"": 566, ""рука"": 119, ""женщина"": 1012}"
759,💁🏾‍♀️,"{""средний парк"": 561, ""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
760,💁🏾‍♀,"{""средний парк"": 561, ""Типинг"": 30, ""рука"": 119, ""женщина"": 1012}"
761,💁🏿‍♀️,"{""Типинг"": 30, ""женщина"": 1012, ""рука"": 119, ""темнота"": 564}"
762,💁🏿‍♀,"{""Типинг"": 30, ""женщина"": 1012, ""рука"": 119, ""темнота"": 564}"
763,🙋,"{""вверх"": 16, ""ответить"": 1, ""повышение"": 36, ""человек"": 386, ""вопрос"": 5, ""рука"": 119}"
764,🙋🏻,"{""повышение"": 36, ""свет"": 566, ""человек"": 386, ""рука"": 119}"
765,🙋🏼,"{""повышение"": 36, ""средний свет"": 561, ""человек"": 386, ""рука"": 119}"
766,🙋🏽,"{""повышение"": 36, ""человек"": 386, ""средний"": 566, ""рука"": 119}"
767,🙋🏾,"{""повышение"": 36, ""человек"": 386, ""средний парк"": 561, ""рука"": 119}"
768,🙋🏿,"{""повышение"": 36, ""человек"": 386, ""рука"": 119, ""темнота"": 564}"
769,🙋‍♂️,"{""рука"": 119, ""человек"": 1003, ""повышение"": 36}"
770,🙋‍♂,"{""рука"": 119, ""человек"": 1003, ""повышение"": 36}"
771,🙋🏻‍♂️,"{""повышение"": 36, ""свет"": 566, ""человек"": 1003, ""рука"": 119}"
772,🙋🏻‍♂,"{""повышение"": 36, ""свет"": 566, ""человек"": 1003, ""рука"": 119}"
773,🙋🏼‍♂️,"{""повышение"": 36, ""средний свет"": 561, ""человек"": 1003, ""рука"": 119}"
774,🙋🏼‍♂,"{""повышение"": 36, ""средний свет"": 561, ""человек"": 1003, ""рука"": 119}"
775,🙋🏽‍♂️,"{""повышение"": 36, ""человек"": 1003, ""средний"": 566, ""рука"": 119}"
776,🙋🏽‍♂,"{""повышение"": 36, ""человек"": 1003, ""средний"": 566, ""рука"": 119}"
777,🙋🏾‍♂️,"{""повышение"": 36, ""средний парк"": 561, ""человек"": 1003, ""рука"": 119}"
778,🙋🏾‍♂,"{""повышение"": 36, ""средний парк"": 561, ""человек"": 1003, ""рука"": 119}"
779,🙋🏿‍♂️,"{""повышение"": 36, ""человек"": 1003, ""рука"": 119, ""темнота"": 564}"
780,🙋🏿‍♂,"{""повышение"": 36, ""человек"": 1003, ""рука"": 119, ""темнота"": 564}"
781,🙋‍♀️,"{""рука"": 119, ""повышение"": 36, ""женщина"": 1012}"
782,🙋‍♀,"{""рука"": 119, ""повышение"": 36, ""женщина"": 1012}"
783,🙋🏻‍♀️,"{""повышение"": 36, ""свет"": 566, ""рука"": 119, ""женщина"": 1012}"
784,🙋🏻‍♀,"{""повышение"": 36, ""свет"": 566, ""рука"": 119, ""женщина"": 1012}"
785,🙋🏼‍♀️,"{""повышение"": 36, ""средний свет"": 561, ""рука"": 119, ""женщина"": 1012}"
786,🙋🏼‍♀,"{""повышение"": 36, ""средний свет"": 561, ""рука"": 119, ""женщина"": 1012}"
787,🙋🏽‍♀️,"{""повышение"": 36, ""средний"": 566, ""рука"": 119, ""женщина"": 1012}"
788,🙋🏽‍♀,"{""повышение"": 36, ""средний"": 566, ""рука"": 119, ""женщина"": 1012}"
789,🙋🏾‍♀️,"{""повышение"": 36, ""средний парк"": 561, ""рука"": 119, ""женщина"": 1012}"
790,🙋🏾‍♀,"{""повышение"": 36, ""средний парк"": 561, ""рука"": 119, ""женщина"": 1012}"
791,🙋🏿‍♀️,"{""темнота"": 564, ""повышение"": 36, ""рука"": 119, ""женщина"": 1012}"
792,🙋🏿‍♀,"{""темнота"": 564, ""повышение"": 36, ""рука"": 119, ""женщина"": 1012}"
793,🧏,"{""человек"": 386, ""глухое"": 30}"
794,🧏🏻,"{""свет"": 566, ""человек"": 386, ""глухое"": 30}"
795,🧏🏼,"{""средний свет"": 561, ""человек"": 386, ""глухое"": 30}"
796,🧏🏽,"{""человек"": 386, ""средний"": 566, ""глухое"": 30}"
797,🧏🏾,"{""человек"": 386, ""средний парк"": 561, ""глухое"": 30}"
798,🧏🏿,"{""человек"": 386, ""глухое"": 30, ""темнота"": 564}"
799,🧏‍♂️,"{""глухое"": 30, ""человек"": 1003}"
800,🧏‍♂,"{""глухое"": 30, ""человек"": 1003}"
801,🧏🏻‍♂️,"{""свет"": 566, ""человек"": 1003, ""глухое"": 30}"
802,🧏🏻‍♂,"{""свет"": 566, ""человек"": 1003, ""глухое"": 30}"
803,🧏🏼‍♂️,"{""средний свет"": 561, ""человек"": 1003, ""глухое"": 30}"
804,🧏🏼‍♂,"{""средний свет"": 561, ""человек"": 1003, ""глухое"": 30}"
805,🧏🏽‍♂️,"{""человек"": 1003, ""средний"": 566, ""глухое"": 30}"
806,🧏🏽‍♂,"{""человек"": 1003, ""средний"": 566, ""глухое"": 30}"
807,🧏🏾‍♂️,"{""средний парк"": 561, ""человек"": 1003, ""глухое"": 30}"
808,🧏🏾‍♂,"{""средний парк"": 561, ""человек"": 1003, ""глухое"": 30}"
809,🧏🏿‍♂️,"{""человек"": 1003, ""глухое"": 30, ""темнота"": 564}"
810,🧏🏿‍♂,"{""человек"": 1003, ""глухое"": 30, ""темнота"": 564}"
811,🧏‍♀️,"{""глухое"": 30, ""женщина"": 1012}"
812,🧏‍♀,"{""глухое"": 30, ""женщина"": 1012}"
813,🧏🏻‍♀️,"{""свет"": 566, ""глухое"": 30, ""женщина"": 1012}"
814,🧏🏻‍♀,"{""свет"": 566, ""глухое"": 30, ""женщина"": 1012}"
815,🧏🏼‍♀️,"{""средний свет"": 561, ""глухое"": 30, ""женщина"": 1012}"
816,🧏🏼‍♀,"{""средний свет"": 561, ""глухое"": 30, ""женщина"": 1012}"
817,🧏🏽‍♀️,"{""средний"": 566, ""глухое"": 30, ""женщина"": 1012}"
818,🧏🏽‍♀,"{""средний"": 566, ""глухое"": 30, ""женщина"": 1012}"
819,🧏🏾‍♀️,"{""средний парк"": 561, ""глухое"": 30, ""женщина"": 1012}"
820,🧏🏾‍♀,"{""средний парк"": 561, ""глухое"": 30, ""женщина"": 1012}"
821,🧏🏿‍♀️,"{""женщина"": 1012, ""глухое"": 30, ""темнота"": 564}"
822,🧏🏿‍♀,"{""женщина"": 1012, ""глухое"": 30, ""темнота"": 564}"
823,🙇,"{""догеза"": 1, ""человек"": 1003, ""массаж"": 31, ""булавка"": 30, ""мальчик"": 26, ""милый"": 3}"
824,🙇🏻,"{""свет"": 566, ""человек"": 386, ""булавка"": 30}"
825,🙇🏼,"{""средний свет"": 561, ""человек"": 386, ""булавка"": 30}"
826,🙇🏽,"{""человек"": 386, ""булавка"": 30, ""средний"": 566}"
827,🙇🏾,"{""человек"": 386, ""средний парк"": 561, ""булавка"": 30}"
828,🙇🏿,"{""человек"": 386, ""булавка"": 30, ""темнота"": 564}"
829,🙇‍♂️,"{""человек"": 1003, ""булавка"": 30}"
830,🙇‍♂,"{""человек"": 1003, ""булавка"": 30}"
831,🙇🏻‍♂️,"{""свет"": 566, ""человек"": 1003, ""булавка"": 30}"
832,🙇🏻‍♂,"{""свет"": 566, ""человек"": 1003, ""булавка"": 30}"
833,🙇🏼‍♂️,"{""средний свет"": 561, ""человек"": 1003, ""булавка"": 30}"
834,🙇🏼‍♂,"{""средний свет"": 561, ""человек"": 1003, ""булавка"": 30}"
835,🙇🏽‍♂️,"{""человек"": 1003, ""булавка"": 30, ""средний"": 566}"
836,🙇🏽‍♂,"{""человек"": 1003, ""булавка"": 30, ""средний"": 566}"
837,🙇🏾‍♂️,"{""средний парк"": 561, ""человек"": 1003, ""булавка"": 30}"
838,🙇🏾‍♂,"{""средний парк"": 561, ""человек"": 1003, ""булавка"": 30}"
839,🙇🏿‍♂️,"{""человек"": 1003, ""булавка"": 30, ""темнота"": 564}"
840,🙇🏿‍♂,"{""человек"": 1003, ""булавка"": 30, ""темнота"": 564}"
841,🙇‍♀️,"{""женщина"": 1012, ""булавка"": 30}"
842,🙇‍♀,"{""женщина"": 1012, ""булавка"": 30}"
843,🙇🏻‍♀️,"{""свет"": 566, ""булавка"": 30, ""женщина"": 1012}"
844,🙇🏻‍♀,"{""свет"": 566, ""булавка"": 30, ""женщина"": 1012}"
845,🙇🏼‍♀️,"{""средний свет"": 561, ""булавка"": 30, ""женщина"": 1012}"
846,🙇🏼‍♀,"{""средний свет"": 561, ""булавка"": 30, ""женщина"": 1012}"
847,🙇🏽‍♀️,"{""булавка"": 30, ""средний"": 566, ""женщина"": 1012}"
848,🙇🏽‍♀,"{""булавка"": 30, ""средний"": 566, ""женщина"": 1012}"
849,🙇🏾‍♀️,"{""средний парк"": 561, ""булавка"": 30, ""женщина"": 1012}"
850,🙇🏾‍♀,"{""средний парк"": 561, ""булавка"": 30, ""женщина"": 1012}"
851,🙇🏿‍♀️,"{""женщина"": 1012, ""булавка"": 30, ""темнота"": 564}"
852,🙇🏿‍♀,"{""женщина"": 1012, ""булавка"": 30, ""темнота"": 564}"
853,🤦,"{""см"": 1, ""удар"": 1, ""facepalming"": 30, ""человек"": 386, ""facepalm"": 1, ""голова"": 12, ""пикард"": 1}"
854,🤦🏻,"{""свет"": 566, ""человек"": 386, ""facepalming"": 30}"
855,🤦🏼,"{""средний свет"": 561, ""человек"": 386, ""facepalming"": 30}"
856,🤦🏽,"{""facepalming"": 30, ""человек"": 386, ""средний"": 566}"
857,🤦🏾,"{""человек"": 386, ""средний парк"": 561, ""facepalming"": 30}"
858,🤦🏿,"{""человек"": 386, ""facepalming"": 30, ""темнота"": 564}"
859,🤦‍♂️,"{""facepalming"": 30, ""человек"": 1003}"
860,🤦‍♂,"{""facepalming"": 30, ""человек"": 1003}"
861,🤦🏻‍♂️,"{""свет"": 566, ""человек"": 1003, ""facepalming"": 30}"
862,🤦🏻‍♂,"{""свет"": 566, ""человек"": 1003, ""facepalming"": 30}"
863,🤦🏼‍♂️,"{""средний свет"": 561, ""человек"": 1003, ""facepalming"": 30}"
864,🤦🏼‍♂,"{""средний свет"": 561, ""человек"": 1003, ""facepalming"": 30}"
865,🤦🏽‍♂️,"{""facepalming"": 30, ""человек"": 1003, ""средний"": 566}"
866,🤦🏽‍♂,"{""facepalming"": 30, ""человек"": 1003, ""средний"": 566}"
867,🤦🏾‍♂️,"{""средний парк"": 561, ""человек"": 1003, ""facepalming"": 30}"
868,🤦🏾‍♂,"{""средний парк"": 561, ""человек"": 1003, ""facepalming"": 30}"
869,🤦🏿‍♂️,"{""человек"": 1003, ""facepalming"": 30, ""темнота"": 564}"
870,🤦🏿‍♂,"{""человек"": 1003, ""facepalming"": 30, ""темнота"": 564}"
871,🤦‍♀️,"{""facepalming"": 30, ""женщина"": 1012}"
872,🤦‍♀,"{""facepalming"": 30, ""женщина"": 1012}"
873,🤦🏻‍♀️,"{""свет"": 566, ""facepalming"": 30, ""женщина"": 1012}"
874,🤦🏻‍♀,"{""свет"": 566, ""facepalming"": 30, ""женщина"": 1012}"
875,🤦🏼‍♀️,"{""средний свет"": 561, ""facepalming"": 30, ""женщина"": 1012}"
876,🤦🏼‍♀,"{""средний свет"": 561, ""facepalming"": 30, ""женщина"": 1012}"
877,🤦🏽‍♀️,"{""facepalming"": 30, ""средний"": 566, ""женщина"": 1012}"
878,🤦🏽‍♀,"{""facepalming"": 30, ""средний"": 566, ""женщина"": 1012}"
879,🤦🏾‍♀️,"{""средний парк"": 561, ""facepalming"": 30, ""женщина"": 1012}"
880,🤦🏾‍♀,"{""средний парк"": 561, ""facepalming"": 30, ""женщина"": 1012}"
881,🤦🏿‍♀️,"{""женщина"": 1012, ""facepalming"": 30, ""темнота"": 564}"
882,🤦🏿‍♀,"{""женщина"": 1012, ""facepalming"": 30, ""темнота"": 564}"
883,🤷,"{""_/ ̄"": 1, ""ツ"": 1, ""креветки"": 1, ""̄\\_"": 1, ""кричать"": 30, ""человек"": 386}"
884,🤷🏻,"{""свет"": 566, ""кричать"": 30, ""человек"": 386}"
885,🤷🏼,"{""средний свет"": 561, ""кричать"": 30, ""человек"": 386}"
886,🤷🏽,"{""кричать"": 30, ""человек"": 386, ""средний"": 566}"
887,🤷🏾,"{""кричать"": 30, ""человек"": 386, ""средний парк"": 561}"
888,🤷🏿,"{""кричать"": 30, ""человек"": 386, ""темнота"": 564}"
889,🤷‍♂️,"{""человек"": 1003, ""кричать"": 30}"
890,🤷‍♂,"{""человек"": 1003, ""кричать"": 30}"
891,🤷🏻‍♂️,"{""свет"": 566, ""кричать"": 30, ""человек"": 1003}"
892,🤷🏻‍♂,"{""свет"": 566, ""кричать"": 30, ""человек"": 1003}"
893,🤷🏼‍♂️,"{""средний свет"": 561, ""кричать"": 30, ""человек"": 1003}"
894,🤷🏼‍♂,"{""средний свет"": 561, ""кричать"": 30, ""человек"": 1003}"
895,🤷🏽‍♂️,"{""кричать"": 30, ""человек"": 1003, ""средний"": 566}"
896,🤷🏽‍♂,"{""кричать"": 30, ""человек"": 1003, ""средний"": 566}"
897,🤷🏾‍♂️,"{""кричать"": 30, ""средний парк"": 561, ""человек"": 1003}"
898,🤷🏾‍♂,"{""кричать"": 30, ""средний парк"": 561, ""человек"": 1003}"
899,🤷🏿‍♂️,"{""кричать"": 30, ""человек"": 1003, ""темнота"": 564}"
900,🤷🏿‍♂,"{""кричать"": 30, ""человек"": 1003, ""темнота"": 564}"
901,🤷‍♀️,"{""женщина"": 1012, ""кричать"": 30}"
902,🤷‍♀,"{""женщина"": 1012, ""кричать"": 30}"
903,🤷🏻‍♀️,"{""свет"": 566, ""кричать"": 30, ""женщина"": 1012}"
904,🤷🏻‍♀,"{""свет"": 566, ""кричать"": 30, ""женщина"": 1012}"
905,🤷🏼‍♀️,"{""средний свет"": 561, ""кричать"": 30, ""женщина"": 1012}"
906,🤷🏼‍♀,"{""средний свет"": 561, ""кричать"": 30, ""женщина"": 1012}"
907,🤷🏽‍♀️,"{""кричать"": 30, ""средний"": 566, ""женщина"": 1012}"
908,🤷🏽‍♀,"{""кричать"": 30, ""средний"": 566, ""женщина"": 1012}"
909,🤷🏾‍♀️,"{""кричать"": 30, ""средний парк"": 561, ""женщина"": 1012}"
910,🤷🏾‍♀,"{""кричать"": 30, ""средний парк"": 561, ""женщина"": 1012}"
911,🤷🏿‍♀️,"{""кричать"": 30, ""женщина"": 1012, ""темнота"": 564}"
912,🤷🏿‍♀,"{""кричать"": 30, ""женщина"": 1012, ""темнота"": 564}"
913,🧑‍⚕️,"{""работник"": 104, ""здоровье"": 36}"
914,🧑‍⚕,"{""работник"": 104, ""здоровье"": 36}"
915,🧑🏻‍⚕️,"{""работник"": 104, ""свет"": 566, ""здоровье"": 36}"
916,🧑🏻‍⚕,"{""работник"": 104, ""свет"": 566, ""здоровье"": 36}"
917,🧑🏼‍⚕️,"{""работник"": 104, ""средний свет"": 561, ""здоровье"": 36}"
918,🧑🏼‍⚕,"{""работник"": 104, ""средний свет"": 561, ""здоровье"": 36}"
919,🧑🏽‍⚕️,"{""работник"": 104, ""средний"": 566, ""здоровье"": 36}"
920,🧑🏽‍⚕,"{""работник"": 104, ""средний"": 566, ""здоровье"": 36}"
921,🧑🏾‍⚕️,"{""работник"": 104, ""средний парк"": 561, ""здоровье"": 36}"
922,🧑🏾‍⚕,"{""работник"": 104, ""средний парк"": 561, ""здоровье"": 36}"
923,🧑🏿‍⚕️,"{""работник"": 104, ""здоровье"": 36, ""темнота"": 564}"
924,🧑🏿‍⚕,"{""работник"": 104, ""здоровье"": 36, ""темнота"": 564}"
925,👨‍⚕️,"{""работник"": 104, ""доктор"": 4, ""мужчина"": 15, ""человек"": 1003, ""здоровье"": 36, ""Медсестра"": 4}"
926,👨‍⚕,"{""работник"": 104, ""доктор"": 4, ""мужчина"": 15, ""человек"": 1003, ""здоровье"": 36, ""Медсестра"": 4}"
927,👨🏻‍⚕️,"{""работник"": 104, ""свет"": 566, ""человек"": 1003, ""здоровье"": 36}"
928,👨🏻‍⚕,"{""работник"": 104, ""свет"": 566, ""человек"": 1003, ""здоровье"": 36}"
929,👨🏼‍⚕️,"{""работник"": 104, ""средний свет"": 561, ""человек"": 1003, ""здоровье"": 36}"
930,👨🏼‍⚕,"{""работник"": 104, ""средний свет"": 561, ""человек"": 1003, ""здоровье"": 36}"
931,👨🏽‍⚕️,"{""работник"": 104, ""человек"": 1003, ""средний"": 566, ""здоровье"": 36}"
932,👨🏽‍⚕,"{""работник"": 104, ""человек"": 1003, ""средний"": 566, ""здоровье"": 36}"
933,👨🏾‍⚕️,"{""работник"": 104, ""средний парк"": 561, ""человек"": 1003, ""здоровье"": 36}"
934,👨🏾‍⚕,"{""работник"": 104, ""средний парк"": 561, ""человек"": 1003, ""здоровье"": 36}"
935,👨🏿‍⚕️,"{""работник"": 104, ""человек"": 1003, ""здоровье"": 36, ""темнота"": 564}"
936,👨🏿‍⚕,"{""работник"": 104, ""человек"": 1003, ""здоровье"": 36, ""темнота"": 564}"
937,👩‍⚕️,"{""работник"": 104, ""доктор"": 4, ""женщина"": 1012, ""здоровье"": 36, ""Медсестра"": 4}"
938,👩‍⚕,"{""работник"": 104, ""доктор"": 4, ""женщина"": 1012, ""здоровье"": 36, ""Медсестра"": 4}"
939,👩🏻‍⚕️,"{""работник"": 104, ""свет"": 566, ""здоровье"": 36, ""женщина"": 1012}"
940,👩🏻‍⚕,"{""работник"": 104, ""свет"": 566, ""здоровье"": 36, ""женщина"": 1012}"
941,👩🏼‍⚕️,"{""работник"": 104, ""средний свет"": 561, ""здоровье"": 36, ""женщина"": 1012}"
942,👩🏼‍⚕,"{""работник"": 104, ""средний свет"": 561, ""здоровье"": 36, ""женщина"": 1012}"
943,👩🏽‍⚕️,"{""работник"": 104, ""средний"": 566, ""здоровье"": 36, ""женщина"": 1012}"
944,👩🏽‍⚕,"{""работник"": 104, ""средний"": 566, ""здоровье"": 36, ""женщина"": 1012}"
945,👩🏾‍⚕️,"{""работник"": 104, ""средний парк"": 561, ""здоровье"": 36, ""женщина"": 1012}"
946,👩🏾‍⚕,"{""работник"": 104, ""средний парк"": 561, ""здоровье"": 36, ""женщина"": 1012}"
947,👩🏿‍⚕️,"{""работник"": 104, ""темнота"": 564, ""здоровье"": 36, ""женщина"": 1012}"
948,👩🏿‍⚕,"{""работник"": 104, ""темнота"": 564, ""здоровье"": 36, ""женщина"": 1012}"
949,🧑‍🎓,"{""студент"": 18}"
950,🧑🏻‍🎓,"{""студент"": 18, ""свет"": 566}"
951,🧑🏼‍🎓,"{""студент"": 18, ""средний свет"": 561}"
952,🧑🏽‍🎓,"{""студент"": 18, ""средний"": 566}"
953,🧑🏾‍🎓,"{""студент"": 18, ""средний парк"": 561}"
954,🧑🏿‍🎓,"{""студент"": 18, ""темнота"": 564}"
955,👨‍🎓,"{""человек"": 1003, ""студент"": 18}"
956,👨🏻‍🎓,"{""студент"": 18, ""свет"": 566, ""человек"": 1003}"
957,👨🏼‍🎓,"{""студент"": 18, ""средний свет"": 561, ""человек"": 1003}"
958,👨🏽‍🎓,"{""студент"": 18, ""человек"": 1003, ""средний"": 566}"
959,👨🏾‍🎓,"{""студент"": 18, ""средний парк"": 561, ""человек"": 1003}"
960,👨🏿‍🎓,"{""студент"": 18, ""человек"": 1003, ""темнота"": 564}"
961,👩‍🎓,"{""женщина"": 1012, ""студент"": 18}"
962,👩🏻‍🎓,"{""студент"": 18, ""свет"": 566, ""женщина"": 1012}"
963,👩🏼‍🎓,"{""студент"": 18, ""средний свет"": 561, ""женщина"": 1012}"
964,👩🏽‍🎓,"{""студент"": 18, ""средний"": 566, ""женщина"": 1012}"
965,👩🏾‍🎓,"{""студент"": 18, ""средний парк"": 561, ""женщина"": 1012}"
966,👩🏿‍🎓,"{""студент"": 18, ""женщина"": 1012, ""темнота"": 564}"
967,🧑‍🏫,"{""учитель"": 18}"
968,🧑🏻‍🏫,"{""свет"": 566, ""учитель"": 18}"
969,🧑🏼‍🏫,"{""средний свет"": 561, ""учитель"": 18}"
970,🧑🏽‍🏫,"{""средний"": 566, ""учитель"": 18}"
971,🧑🏾‍🏫,"{""средний парк"": 561, ""учитель"": 18}"
972,🧑🏿‍🏫,"{""учитель"": 18, ""темнота"": 564}"
973,👨‍🏫,"{""учитель"": 18, ""человек"": 1003}"
974,👨🏻‍🏫,"{""свет"": 566, ""человек"": 1003, ""учитель"": 18}"
975,👨🏼‍🏫,"{""средний свет"": 561, ""человек"": 1003, ""учитель"": 18}"
976,👨🏽‍🏫,"{""человек"": 1003, ""средний"": 566, ""учитель"": 18}"
977,👨🏾‍🏫,"{""средний парк"": 561, ""человек"": 1003, ""учитель"": 18}"
978,👨🏿‍🏫,"{""человек"": 1003, ""учитель"": 18, ""темнота"": 564}"
979,👩‍🏫,"{""учитель"": 18, ""женщина"": 1012}"
980,👩🏻‍🏫,"{""свет"": 566, ""учитель"": 18, ""женщина"": 1012}"
981,👩🏼‍🏫,"{""средний свет"": 561, ""учитель"": 18, ""женщина"": 1012}"
982,👩🏽‍🏫,"{""средний"": 566, ""учитель"": 18, ""женщина"": 1012}"
983,👩🏾‍🏫,"{""средний парк"": 561, ""учитель"": 18, ""женщина"": 1012}"
984,👩🏿‍🏫,"{""женщина"": 1012, ""учитель"": 18, ""темнота"": 564}"
985,🧑‍⚖️,"{""Судья"": 36}"
986,🧑‍⚖,"{""Судья"": 36}"
987,🧑🏻‍⚖️,"{""Судья"": 36, ""свет"": 566}"
988,🧑🏻‍⚖,"{""Судья"": 36, ""свет"": 566}"
989,🧑🏼‍⚖️,"{""Судья"": 36, ""средний свет"": 561}"
990,🧑🏼‍⚖,"{""Судья"": 36, ""средний свет"": 561}"
991,🧑🏽‍⚖️,"{""Судья"": 36, ""средний"": 566}"
992,🧑🏽‍⚖,"{""Судья"": 36, ""средний"": 566}"
993,🧑🏾‍⚖️,"{""Судья"": 36, ""средний парк"": 561}"
994,🧑🏾‍⚖,"{""Судья"": 36, ""средний парк"": 561}"
995,🧑🏿‍⚖️,"{""Судья"": 36, ""темнота"": 564}"
996,🧑🏿‍⚖,"{""Судья"": 36, ""темнота"": 564}"
997,👨‍⚖️,"{""Судья"": 36, ""человек"": 1003}"
998,👨‍⚖,"{""Судья"": 36, ""человек"": 1003}"
999,👨🏻‍⚖️,"{""Судья"": 36, ""свет"": 566, ""человек"": 1003}"
1000,👨🏻‍⚖,"{""Судья"": 36, ""свет"": 566, ""человек"": 1003}"
1001,👨🏼‍⚖️,"{""Судья"": 36, ""средний свет"": 561, ""человек"": 1003}"
1002,👨🏼‍⚖,"{""Судья"": 36, ""средний свет"": 561, ""человек"": 1003}"
1003,👨🏽‍⚖️,"{""Судья"": 36, ""человек"": 1003, ""средний"": 566}"
1004,👨🏽‍⚖,"{""Судья"": 36, ""человек"": 1003, ""средний"": 566}"
1005,👨🏾‍⚖️,"{""Судья"": 36, ""средний парк"": 561, ""человек"": 1003}"
1006,👨🏾‍⚖,"{""Судья"": 36, ""средний парк"": 561, ""человек"": 1003}"
1007,👨🏿‍⚖️,"{""Судья"": 36, ""человек"": 1003, ""темнота"": 564}"
1008,👨🏿‍⚖,"{""Судья"": 36, ""человек"": 1003, ""темнота"": 564}"
1009,👩‍⚖️,"{""Судья"": 36, ""женщина"": 1012}"
1010,👩‍⚖,"{""Судья"": 36, ""женщина"": 1012}"
1011,👩🏻‍⚖️,"{""Судья"": 36, ""свет"": 566, ""женщина"": 1012}"
1012,👩🏻‍⚖,"{""Судья"": 36, ""свет"": 566, ""женщина"": 1012}"
1013,👩🏼‍⚖️,"{""Судья"": 36, ""средний свет"": 561, ""женщина"": 1012}"
1014,👩🏼‍⚖,"{""Судья"": 36, ""средний свет"": 561, ""женщина"": 1012}"
1015,👩🏽‍⚖️,"{""Судья"": 36, ""средний"": 566, ""женщина"": 1012}"
1016,👩🏽‍⚖,"{""Судья"": 36, ""средний"": 566, ""женщина"": 1012}"
1017,👩🏾‍⚖️,"{""Судья"": 36, ""средний парк"": 561, ""женщина"": 1012}"
1018,👩🏾‍⚖,"{""Судья"": 36, ""средний парк"": 561, ""женщина"": 1012}"
1019,👩🏿‍⚖️,"{""Судья"": 36, ""женщина"": 1012, ""темнота"": 564}"
1020,👩🏿‍⚖,"{""Судья"": 36, ""женщина"": 1012, ""темнота"": 564}"
1021,🧑‍🌾,"{""фермер"": 18}"
1022,🧑🏻‍🌾,"{""свет"": 566, ""фермер"": 18}"
1023,🧑🏼‍🌾,"{""средний свет"": 561, ""фермер"": 18}"
1024,🧑🏽‍🌾,"{""средний"": 566, ""фермер"": 18}"
1025,🧑🏾‍🌾,"{""средний парк"": 561, ""фермер"": 18}"
1026,🧑🏿‍🌾,"{""фермер"": 18, ""темнота"": 564}"
1027,👨‍🌾,"{""фермер"": 18, ""человек"": 1003}"
1028,👨🏻‍🌾,"{""свет"": 566, ""человек"": 1003, ""фермер"": 18}"
1029,👨🏼‍🌾,"{""средний свет"": 561, ""человек"": 1003, ""фермер"": 18}"
1030,👨🏽‍🌾,"{""человек"": 1003, ""средний"": 566, ""фермер"": 18}"
1031,👨🏾‍🌾,"{""средний парк"": 561, ""человек"": 1003, ""фермер"": 18}"
1032,👨🏿‍🌾,"{""человек"": 1003, ""фермер"": 18, ""темнота"": 564}"
1033,👩‍🌾,"{""фермер"": 18, ""женщина"": 1012}"
1034,👩🏻‍🌾,"{""свет"": 566, ""фермер"": 18, ""женщина"": 1012}"
1035,👩🏼‍🌾,"{""средний свет"": 561, ""фермер"": 18, ""женщина"": 1012}"
1036,👩🏽‍🌾,"{""средний"": 566, ""фермер"": 18, ""женщина"": 1012}"
1037,👩🏾‍🌾,"{""средний парк"": 561, ""фермер"": 18, ""женщина"": 1012}"
1038,👩🏿‍🌾,"{""женщина"": 1012, ""фермер"": 18, ""темнота"": 564}"
1039,🧑‍🍳,"{""повар"": 19}"
1040,🧑🏻‍🍳,"{""свет"": 566, ""повар"": 19}"
1041,🧑🏼‍🍳,"{""средний свет"": 561, ""повар"": 19}"
