,emoji,meanings,words,poses
964,👩🏽‍🎓,"[""Woman Student: Medium Skin Tone""]","[""skin"", ""student"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""student"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
965,👩🏾‍🎓,"[""Woman Student: Medium-Dark Skin Tone""]","[""skin"", ""student"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""student"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
966,👩🏿‍🎓,"[""Woman Student: Dark Skin Tone""]","[""skin"", ""student"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""student"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
967,🧑‍🏫,"[""Teacher""]","[""teacher""]","{""teacher"": ""NOUN""}"
968,🧑🏻‍🏫,"[""Teacher: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""teacher"", "":""]","{""teacher"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
969,🧑🏼‍🏫,"[""Teacher: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""teacher"", "":""]","{""teacher"": ""DET"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
970,🧑🏽‍🏫,"[""Teacher: Medium Skin Tone""]","[""skin"", ""tone"", ""medium"", ""teacher"", "":""]","{""teacher"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
971,🧑🏾‍🏫,"[""Teacher: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""teacher"", "":""]","{""teacher"": ""DET"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
972,🧑🏿‍🏫,"[""Teacher: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""teacher"", "":""]","{""teacher"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
973,👨‍🏫,"[""Man Teacher""]","[""teacher"", ""man""]","{""man"": ""NOUN"", ""teacher"": ""PRON""}"
974,👨🏻‍🏫,"[""Man Teacher: Light Skin Tone""]","[""skin"", ""tone"", ""light"", ""man"", ""teacher"", "":""]","{""man"": ""NOUN"", ""teacher"": ""DET"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
975,👨🏼‍🏫,"[""Man Teacher: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""tone"", ""man"", ""teacher"", "":""]","{""man"": ""NOUN"", ""teacher"": ""DET"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
976,👨🏽‍🏫,"[""Man Teacher: Medium Skin Tone""]","[""skin"", ""tone"", ""man"", ""medium"", ""teacher"", "":""]","{""man"": ""NOUN"", ""teacher"": ""PRON"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
977,👨🏾‍🏫,"[""Man Teacher: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""tone"", ""man"", ""teacher"", "":""]","{""man"": ""NOUN"", ""teacher"": ""DET"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
978,👨🏿‍🏫,"[""Man Teacher: Dark Skin Tone""]","[""skin"", ""tone"", ""dark"", ""man"", ""teacher"", "":""]","{""man"": ""NOUN"", ""teacher"": ""PRON"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
979,👩‍🏫,"[""Woman Teacher""]","[""teacher"", ""woman""]","{""woman"": ""NOUN"", ""teacher"": ""NOUN""}"
980,👩🏻‍🏫,"[""Woman Teacher: Light Skin Tone""]","[""skin"", ""woman"", ""tone"", ""light"", ""teacher"", "":""]","{""woman"": ""NOUN"", ""teacher"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
981,👩🏼‍🏫,"[""Woman Teacher: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""woman"", ""tone"", ""teacher"", "":""]","{""woman"": ""NOUN"", ""teacher"": ""PRON"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
982,👩🏽‍🏫,"[""Woman Teacher: Medium Skin Tone""]","[""skin"", ""woman"", ""tone"", ""medium"", ""teacher"", "":""]","{""woman"": ""NOUN"", ""teacher"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
983,👩🏾‍🏫,"[""Woman Teacher: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""woman"", ""tone"", ""teacher"", "":""]","{""woman"": ""NOUN"", ""teacher"": ""PRON"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
984,👩🏿‍🏫,"[""Woman Teacher: Dark Skin Tone""]","[""skin"", ""tone"", ""woman"", ""dark"", ""teacher"", "":""]","{""woman"": ""NOUN"", ""teacher"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
985,🧑‍⚖️,"[""Judge""]","[""judge""]","{""judge"": ""NOUN""}"
986,🧑‍⚖,"[""Judge""]","[""judge""]","{""judge"": ""NOUN""}"
987,🧑🏻‍⚖️,"[""Judge: Light Skin Tone""]","[""judge"", ""skin"", ""tone"", ""light"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
988,🧑🏻‍⚖,"[""Judge: Light Skin Tone""]","[""judge"", ""skin"", ""tone"", ""light"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
989,🧑🏼‍⚖️,"[""Judge: Medium-Light Skin Tone""]","[""judge"", ""skin"", ""medium-light"", ""tone"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
990,🧑🏼‍⚖,"[""Judge: Medium-Light Skin Tone""]","[""judge"", ""skin"", ""medium-light"", ""tone"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
991,🧑🏽‍⚖️,"[""Judge: Medium Skin Tone""]","[""judge"", ""skin"", ""tone"", ""medium"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
992,🧑🏽‍⚖,"[""Judge: Medium Skin Tone""]","[""judge"", ""skin"", ""tone"", ""medium"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
993,🧑🏾‍⚖️,"[""Judge: Medium-Dark Skin Tone""]","[""judge"", ""skin"", ""medium-dark"", ""tone"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
994,🧑🏾‍⚖,"[""Judge: Medium-Dark Skin Tone""]","[""judge"", ""skin"", ""medium-dark"", ""tone"", "":""]","{""judge"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
995,🧑🏿‍⚖️,"[""Judge: Dark Skin Tone""]","[""judge"", ""skin"", "":"", ""tone"", ""dark""]","{""judge"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
996,🧑🏿‍⚖,"[""Judge: Dark Skin Tone""]","[""judge"", ""skin"", "":"", ""tone"", ""dark""]","{""judge"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
997,👨‍⚖️,"[""Man Judge""]","[""judge"", ""man""]","{""man"": ""NOUN"", ""judge"": ""NOUN""}"
998,👨‍⚖,"[""Man Judge""]","[""judge"", ""man""]","{""man"": ""NOUN"", ""judge"": ""NOUN""}"
999,👨🏻‍⚖️,"[""Man Judge: Light Skin Tone""]","[""judge"", ""skin"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1000,👨🏻‍⚖,"[""Man Judge: Light Skin Tone""]","[""judge"", ""skin"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1001,👨🏼‍⚖️,"[""Man Judge: Medium-Light Skin Tone""]","[""judge"", ""skin"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1002,👨🏼‍⚖,"[""Man Judge: Medium-Light Skin Tone""]","[""judge"", ""skin"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1003,👨🏽‍⚖️,"[""Man Judge: Medium Skin Tone""]","[""judge"", ""skin"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1004,👨🏽‍⚖,"[""Man Judge: Medium Skin Tone""]","[""judge"", ""skin"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1005,👨🏾‍⚖️,"[""Man Judge: Medium-Dark Skin Tone""]","[""judge"", ""skin"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1006,👨🏾‍⚖,"[""Man Judge: Medium-Dark Skin Tone""]","[""judge"", ""skin"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1007,👨🏿‍⚖️,"[""Man Judge: Dark Skin Tone""]","[""judge"", ""skin"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1008,👨🏿‍⚖,"[""Man Judge: Dark Skin Tone""]","[""judge"", ""skin"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1009,👩‍⚖️,"[""Woman Judge""]","[""judge"", ""woman""]","{""woman"": ""NOUN"", ""judge"": ""NOUN""}"
1010,👩‍⚖,"[""Woman Judge""]","[""judge"", ""woman""]","{""woman"": ""NOUN"", ""judge"": ""NOUN""}"
1011,👩🏻‍⚖️,"[""Woman Judge: Light Skin Tone""]","[""judge"", ""skin"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1012,👩🏻‍⚖,"[""Woman Judge: Light Skin Tone""]","[""judge"", ""skin"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1013,👩🏼‍⚖️,"[""Woman Judge: Medium-Light Skin Tone""]","[""judge"", ""skin"", ""medium-light"", ""woman"", ""tone"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1014,👩🏼‍⚖,"[""Woman Judge: Medium-Light Skin Tone""]","[""judge"", ""skin"", ""medium-light"", ""woman"", ""tone"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1015,👩🏽‍⚖️,"[""Woman Judge: Medium Skin Tone""]","[""judge"", ""skin"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1016,👩🏽‍⚖,"[""Woman Judge: Medium Skin Tone""]","[""judge"", ""skin"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1017,👩🏾‍⚖️,"[""Woman Judge: Medium-Dark Skin Tone""]","[""judge"", ""skin"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1018,👩🏾‍⚖,"[""Woman Judge: Medium-Dark Skin Tone""]","[""judge"", ""skin"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1019,👩🏿‍⚖️,"[""Woman Judge: Dark Skin Tone""]","[""judge"", ""skin"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1020,👩🏿‍⚖,"[""Woman Judge: Dark Skin Tone""]","[""judge"", ""skin"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""NOUN"", ""judge"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1021,🧑‍🌾,"[""Farmer""]","[""farmer""]","{""farmer"": ""NOUN""}"
1022,🧑🏻‍🌾,"[""Farmer: Light Skin Tone""]","[""farmer"", ""skin"", ""tone"", ""light"", "":""]","{""farmer"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1023,🧑🏼‍🌾,"[""Farmer: Medium-Light Skin Tone""]","[""farmer"", ""skin"", ""medium-light"", ""tone"", "":""]","{""farmer"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1024,🧑🏽‍🌾,"[""Farmer: Medium Skin Tone""]","[""farmer"", ""skin"", ""tone"", ""medium"", "":""]","{""farmer"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1025,🧑🏾‍🌾,"[""Farmer: Medium-Dark Skin Tone""]","[""farmer"", ""skin"", ""medium-dark"", ""tone"", "":""]","{""farmer"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1026,🧑🏿‍🌾,"[""Farmer: Dark Skin Tone""]","[""farmer"", ""skin"", "":"", ""tone"", ""dark""]","{""farmer"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1027,👨‍🌾,"[""Man Farmer""]","[""farmer"", ""man""]","{""man"": ""NOUN"", ""farmer"": ""NOUN""}"
1028,👨🏻‍🌾,"[""Man Farmer: Light Skin Tone""]","[""farmer"", ""skin"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1029,👨🏼‍🌾,"[""Man Farmer: Medium-Light Skin Tone""]","[""farmer"", ""skin"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1030,👨🏽‍🌾,"[""Man Farmer: Medium Skin Tone""]","[""farmer"", ""skin"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1031,👨🏾‍🌾,"[""Man Farmer: Medium-Dark Skin Tone""]","[""farmer"", ""skin"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1032,👨🏿‍🌾,"[""Man Farmer: Dark Skin Tone""]","[""farmer"", ""skin"", ""tone"", ""dark"", ""man"", "":""]","{""man"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1033,👩‍🌾,"[""Woman Farmer""]","[""farmer"", ""woman""]","{""woman"": ""NOUN"", ""farmer"": ""NOUN""}"
1034,👩🏻‍🌾,"[""Woman Farmer: Light Skin Tone""]","[""farmer"", ""skin"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1035,👩🏼‍🌾,"[""Woman Farmer: Medium-Light Skin Tone""]","[""farmer"", ""skin"", ""medium-light"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1036,👩🏽‍🌾,"[""Woman Farmer: Medium Skin Tone""]","[""farmer"", ""skin"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1037,👩🏾‍🌾,"[""Woman Farmer: Medium-Dark Skin Tone""]","[""farmer"", ""skin"", ""medium-dark"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1038,👩🏿‍🌾,"[""Woman Farmer: Dark Skin Tone""]","[""farmer"", ""skin"", ""tone"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""farmer"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1039,🧑‍🍳,"[""Cook""]","[""cook""]","{""cook"": ""NOUN""}"
1040,🧑🏻‍🍳,"[""Cook: Light Skin Tone""]","[""skin"", ""cook"", ""tone"", ""light"", "":""]","{""cook"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1041,🧑🏼‍🍳,"[""Cook: Medium-Light Skin Tone""]","[""skin"", ""cook"", ""medium-light"", ""tone"", "":""]","{""cook"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1042,🧑🏽‍🍳,"[""Cook: Medium Skin Tone""]","[""skin"", ""cook"", ""tone"", ""medium"", "":""]","{""cook"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1043,🧑🏾‍🍳,"[""Cook: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""cook"", ""tone"", "":""]","{""cook"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1044,🧑🏿‍🍳,"[""Cook: Dark Skin Tone""]","[""skin"", ""tone"", ""cook"", ""dark"", "":""]","{""cook"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1045,👨‍🍳,"[""Man Cook"", ""Male Chef""]","[""cook"", ""chef"", ""male"", ""man""]","{""man"": ""NOUN"", ""cook"": ""NOUN"", ""male"": ""NOUN"", ""chef"": ""NOUN""}"
1046,👨🏻‍🍳,"[""Man Cook: Light Skin Tone""]","[""skin"", ""cook"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""cook"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1047,👨🏼‍🍳,"[""Man Cook: Medium-Light Skin Tone""]","[""skin"", ""cook"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""cook"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1048,👨🏽‍🍳,"[""Man Cook: Medium Skin Tone""]","[""skin"", ""cook"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""cook"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1049,👨🏾‍🍳,"[""Man Cook: Medium-Dark Skin Tone""]","[""skin"", ""cook"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""cook"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1050,👨🏿‍🍳,"[""Man Cook: Dark Skin Tone""]","[""skin"", ""tone"", ""cook"", ""dark"", ""man"", "":""]","{""man"": ""NOUN"", ""cook"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1051,👩‍🍳,"[""Woman Cook"", ""Female Chef""]","[""female"", ""chef"", ""cook"", ""woman""]","{""woman"": ""NOUN"", ""cook"": ""NOUN"", ""female"": ""NOUN"", ""chef"": ""NOUN""}"
1052,👩🏻‍🍳,"[""Woman Cook: Light Skin Tone""]","[""skin"", ""cook"", ""woman"", ""tone"", ""light"", "":""]","{""woman"": ""ADJ"", ""cook"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1053,👩🏼‍🍳,"[""Woman Cook: Medium-Light Skin Tone""]","[""skin"", ""medium-light"", ""cook"", ""woman"", ""tone"", "":""]","{""woman"": ""ADJ"", ""cook"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1054,👩🏽‍🍳,"[""Woman Cook: Medium Skin Tone""]","[""skin"", ""cook"", ""woman"", ""tone"", ""medium"", "":""]","{""woman"": ""ADJ"", ""cook"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1055,👩🏾‍🍳,"[""Woman Cook: Medium-Dark Skin Tone""]","[""skin"", ""medium-dark"", ""woman"", ""tone"", ""cook"", "":""]","{""woman"": ""ADJ"", ""cook"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1056,👩🏿‍🍳,"[""Woman Cook: Dark Skin Tone""]","[""skin"", ""tone"", ""cook"", ""woman"", ""dark"", "":""]","{""woman"": ""ADJ"", ""cook"": ""NOUN"", "":"": ""."", ""dark"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1057,🧑‍🔧,"[""Mechanic""]","[""mechanic""]","{""mechanic"": ""ADJ""}"
1058,🧑🏻‍🔧,"[""Mechanic: Light Skin Tone""]","[""mechanic"", ""skin"", ""tone"", ""light"", "":""]","{""mechanic"": ""ADJ"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1059,🧑🏼‍🔧,"[""Mechanic: Medium-Light Skin Tone""]","[""mechanic"", ""skin"", ""medium-light"", ""tone"", "":""]","{""mechanic"": ""ADJ"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1060,🧑🏽‍🔧,"[""Mechanic: Medium Skin Tone""]","[""mechanic"", ""skin"", ""tone"", ""medium"", "":""]","{""mechanic"": ""ADJ"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1061,🧑🏾‍🔧,"[""Mechanic: Medium-Dark Skin Tone""]","[""mechanic"", ""skin"", ""medium-dark"", ""tone"", "":""]","{""mechanic"": ""ADJ"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1062,🧑🏿‍🔧,"[""Mechanic: Dark Skin Tone""]","[""mechanic"", ""skin"", "":"", ""tone"", ""dark""]","{""mechanic"": ""ADJ"", "":"": ""."", ""dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1063,👨‍🔧,"[""Man Mechanic""]","[""mechanic"", ""man""]","{""man"": ""NOUN"", ""mechanic"": ""NOUN""}"
1064,👨🏻‍🔧,"[""Man Mechanic: Light Skin Tone""]","[""mechanic"", ""skin"", ""tone"", ""light"", ""man"", "":""]","{""man"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1065,👨🏼‍🔧,"[""Man Mechanic: Medium-Light Skin Tone""]","[""mechanic"", ""skin"", ""medium-light"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""medium-light"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1066,👨🏽‍🔧,"[""Man Mechanic: Medium Skin Tone""]","[""mechanic"", ""skin"", ""tone"", ""medium"", ""man"", "":""]","{""man"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""medium"": ""NOUN"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
1067,👨🏾‍🔧,"[""Man Mechanic: Medium-Dark Skin Tone""]","[""mechanic"", ""skin"", ""medium-dark"", ""tone"", ""man"", "":""]","{""man"": ""NOUN"", ""mechanic"": ""NOUN"", "":"": ""."", ""medium-dark"": ""ADJ"", ""skin"": ""NOUN"", ""tone"": ""NOUN""}"
