,emoji,src_meanings,clean_meanings
500,👨🏻‍🦱,"[""Man: Light Skin Tone, Curly Hair""]","[""man""]"
501,👨🏼‍🦱,"[""Man: Medium-Light Skin Tone, Curly Hair""]","[""man""]"
502,👨🏽‍🦱,"[""Man: Medium Skin Tone, Curly Hair""]","[""man""]"
503,👨🏾‍🦱,"[""Man: Medium-Dark Skin Tone, Curly Hair""]","[""man""]"
504,👨🏿‍🦱,"[""Man: Dark Skin Tone, Curly Hair""]","[""man""]"
505,👨‍🦳,"[""Man: White Hair""]","[""man""]"
506,👨🏻‍🦳,"[""Man: Light Skin Tone, White Hair""]","[""man""]"
507,👨🏼‍🦳,"[""Man: Medium-Light Skin Tone, White Hair""]","[""man""]"
508,👨🏽‍🦳,"[""Man: Medium Skin Tone, White Hair""]","[""man""]"
509,👨🏾‍🦳,"[""Man: Medium-Dark Skin Tone, White Hair""]","[""man""]"
510,👨🏿‍🦳,"[""Man: Dark Skin Tone, White Hair""]","[""man""]"
511,👨‍🦲,"[""Man: Bald""]","[""man: bald""]"
512,👨🏻‍🦲,"[""Man: Light Skin Tone, Bald""]","[""man""]"
513,👨🏼‍🦲,"[""Man: Medium-Light Skin Tone, Bald""]","[""man""]"
514,👨🏽‍🦲,"[""Man: Medium Skin Tone, Bald""]","[""man""]"
515,👨🏾‍🦲,"[""Man: Medium-Dark Skin Tone, Bald""]","[""man""]"
516,👨🏿‍🦲,"[""Man: Dark Skin Tone, Bald""]","[""man""]"
517,👩,"[""Woman"", ""Female"", ""Lady"", ""Yellow Woman""]","[""woman"", ""female"", ""lady"", ""yellow woman""]"
518,👩🏻,"[""Woman: Light Skin Tone""]","[""woman""]"
519,👩🏼,"[""Woman: Medium-Light Skin Tone""]","[""woman""]"
520,👩🏽,"[""Woman: Medium Skin Tone""]","[""woman""]"
521,👩🏾,"[""Woman: Medium-Dark Skin Tone""]","[""woman""]"
522,👩🏿,"[""Woman: Dark Skin Tone""]","[""woman""]"
523,👩‍🦰,"[""Woman: Red Hair"", ""Ginger Woman"", ""Woman Redhead""]","[""woman"", ""ginger woman""]"
524,👩🏻‍🦰,"[""Woman: Light Skin Tone, Red Hair""]","[""woman""]"
525,👩🏼‍🦰,"[""Woman: Medium-Light Skin Tone, Red Hair""]","[""woman""]"
526,👩🏽‍🦰,"[""Woman: Medium Skin Tone, Red Hair""]","[""woman""]"
527,👩🏾‍🦰,"[""Woman: Medium-Dark Skin Tone, Red Hair""]","[""woman""]"
528,👩🏿‍🦰,"[""Woman: Dark Skin Tone, Red Hair""]","[""woman""]"
529,🧑‍🦰,"[""Person: Red Hair""]","[""person""]"
530,🧑🏻‍🦰,"[""Person: Light Skin Tone, Red Hair""]","[""person""]"
531,🧑🏼‍🦰,"[""Person: Medium-Light Skin Tone, Red Hair""]","[""person""]"
532,🧑🏽‍🦰,"[""Person: Medium Skin Tone, Red Hair""]","[""person""]"
533,🧑🏾‍🦰,"[""Person: Medium-Dark Skin Tone, Red Hair""]","[""person""]"
534,🧑🏿‍🦰,"[""Person: Dark Skin Tone, Red Hair""]","[""person""]"
535,👩‍🦱,"[""Woman: Curly Hair""]","[""woman""]"
536,👩🏻‍🦱,"[""Woman: Light Skin Tone, Curly Hair""]","[""woman""]"
537,👩🏼‍🦱,"[""Woman: Medium-Light Skin Tone, Curly Hair""]","[""woman""]"
538,👩🏽‍🦱,"[""Woman: Medium Skin Tone, Curly Hair""]","[""woman""]"
539,👩🏾‍🦱,"[""Woman: Medium-Dark Skin Tone, Curly Hair""]","[""woman""]"
540,👩🏿‍🦱,"[""Woman: Dark Skin Tone, Curly Hair""]","[""woman""]"
541,🧑‍🦱,"[""Person: Curly Hair""]","[""person""]"
542,🧑🏻‍🦱,"[""Person: Light Skin Tone, Curly Hair""]","[""person""]"
543,🧑🏼‍🦱,"[""Person: Medium-Light Skin Tone, Curly Hair""]","[""person""]"
544,🧑🏽‍🦱,"[""Person: Medium Skin Tone, Curly Hair""]","[""person""]"
545,🧑🏾‍🦱,"[""Person: Medium-Dark Skin Tone, Curly Hair""]","[""person""]"
546,🧑🏿‍🦱,"[""Person: Dark Skin Tone, Curly Hair""]","[""person""]"
547,👩‍🦳,"[""Woman: White Hair""]","[""woman""]"
548,👩🏻‍🦳,"[""Woman: Light Skin Tone, White Hair""]","[""woman""]"
549,👩🏼‍🦳,"[""Woman: Medium-Light Skin Tone, White Hair""]","[""woman""]"
550,👩🏽‍🦳,"[""Woman: Medium Skin Tone, White Hair""]","[""woman""]"
551,👩🏾‍🦳,"[""Woman: Medium-Dark Skin Tone, White Hair""]","[""woman""]"
552,👩🏿‍🦳,"[""Woman: Dark Skin Tone, White Hair""]","[""woman""]"
553,🧑‍🦳,"[""Person: White Hair""]","[""person""]"
554,🧑🏻‍🦳,"[""Person: Light Skin Tone, White Hair""]","[""person""]"
555,🧑🏼‍🦳,"[""Person: Medium-Light Skin Tone, White Hair""]","[""person""]"
556,🧑🏽‍🦳,"[""Person: Medium Skin Tone, White Hair""]","[""person""]"
557,🧑🏾‍🦳,"[""Person: Medium-Dark Skin Tone, White Hair""]","[""person""]"
558,🧑🏿‍🦳,"[""Person: Dark Skin Tone, White Hair""]","[""person""]"
559,👩‍🦲,"[""Woman: Bald""]","[""woman: bald""]"
560,👩🏻‍🦲,"[""Woman: Light Skin Tone, Bald""]","[""woman""]"
561,👩🏼‍🦲,"[""Woman: Medium-Light Skin Tone, Bald""]","[""woman""]"
562,👩🏽‍🦲,"[""Woman: Medium Skin Tone, Bald""]","[""woman""]"
563,👩🏾‍🦲,"[""Woman: Medium-Dark Skin Tone, Bald""]","[""woman""]"
564,👩🏿‍🦲,"[""Woman: Dark Skin Tone, Bald""]","[""woman""]"
565,🧑‍🦲,"[""Person: Bald""]","[""person: bald""]"
566,🧑🏻‍🦲,"[""Person: Light Skin Tone, Bald""]","[""person""]"
567,🧑🏼‍🦲,"[""Person: Medium-Light Skin Tone, Bald""]","[""person""]"
568,🧑🏽‍🦲,"[""Person: Medium Skin Tone, Bald""]","[""person""]"
569,🧑🏾‍🦲,"[""Person: Medium-Dark Skin Tone, Bald""]","[""person""]"
570,🧑🏿‍🦲,"[""Person: Dark Skin Tone, Bald""]","[""person""]"
571,👱‍♀️,"[""Woman: Blond Hair""]","[""woman""]"
572,👱‍♀,"[""Woman: Blond Hair""]","[""woman""]"
573,👱🏻‍♀️,"[""Woman: Light Skin Tone, Blond Hair""]","[""woman""]"
574,👱🏻‍♀,"[""Woman: Light Skin Tone, Blond Hair""]","[""woman""]"
575,👱🏼‍♀️,"[""Woman: Medium-Light Skin Tone, Blond Hair""]","[""woman""]"
576,👱🏼‍♀,"[""Woman: Medium-Light Skin Tone, Blond Hair""]","[""woman""]"
577,👱🏽‍♀️,"[""Woman: Medium Skin Tone, Blond Hair""]","[""woman""]"
578,👱🏽‍♀,"[""Woman: Medium Skin Tone, Blond Hair""]","[""woman""]"
579,👱🏾‍♀️,"[""Woman: Medium-Dark Skin Tone, Blond Hair""]","[""woman""]"
580,👱🏾‍♀,"[""Woman: Medium-Dark Skin Tone, Blond Hair""]","[""woman""]"
581,👱🏿‍♀️,"[""Woman: Dark Skin Tone, Blond Hair""]","[""woman""]"
582,👱🏿‍♀,"[""Woman: Dark Skin Tone, Blond Hair""]","[""woman""]"
583,👱‍♂️,"[""Man: Blond Hair""]","[""man""]"
584,👱‍♂,"[""Man: Blond Hair""]","[""man""]"
585,👱🏻‍♂️,"[""Man: Light Skin Tone, Blond Hair""]","[""man""]"
586,👱🏻‍♂,"[""Man: Light Skin Tone, Blond Hair""]","[""man""]"
587,👱🏼‍♂️,"[""Man: Medium-Light Skin Tone, Blond Hair""]","[""man""]"
588,👱🏼‍♂,"[""Man: Medium-Light Skin Tone, Blond Hair""]","[""man""]"
589,👱🏽‍♂️,"[""Man: Medium Skin Tone, Blond Hair""]","[""man""]"
590,👱🏽‍♂,"[""Man: Medium Skin Tone, Blond Hair""]","[""man""]"
591,👱🏾‍♂️,"[""Man: Medium-Dark Skin Tone, Blond Hair""]","[""man""]"
592,👱🏾‍♂,"[""Man: Medium-Dark Skin Tone, Blond Hair""]","[""man""]"
593,👱🏿‍♂️,"[""Man: Dark Skin Tone, Blond Hair""]","[""man""]"
594,👱🏿‍♂,"[""Man: Dark Skin Tone, Blond Hair""]","[""man""]"
595,🧓,"[""Older Person"", ""Gender Neutral Older Adult""]","[""older person"", ""gender neutral older adult""]"
596,🧓🏻,"[""Older Person: Light Skin Tone""]","[""older person""]"
597,🧓🏼,"[""Older Person: Medium-Light Skin Tone""]","[""older person""]"
598,🧓🏽,"[""Older Person: Medium Skin Tone""]","[""older person""]"
599,🧓🏾,"[""Older Person: Medium-Dark Skin Tone""]","[""older person""]"
600,🧓🏿,"[""Older Person: Dark Skin Tone""]","[""older person""]"
601,👴,"[""Old Man"", ""Elderly Man"", ""Grandpa"", ""Old Man""]","[""old man"", ""elderly man"", ""grandpa"", ""old man""]"
602,👴🏻,"[""Old Man: Light Skin Tone""]","[""old man""]"
603,👴🏼,"[""Old Man: Medium-Light Skin Tone""]","[""old man""]"
604,👴🏽,"[""Old Man: Medium Skin Tone""]","[""old man""]"
605,👴🏾,"[""Old Man: Medium-Dark Skin Tone""]","[""old man""]"
606,👴🏿,"[""Old Man: Dark Skin Tone""]","[""old man""]"
607,👵,"[""Old Woman"", ""Elderly Woman"", ""Grandma"", ""Nanna"", ""Old Lady""]","[""old woman"", ""elderly woman"", ""grandma"", ""nanna"", ""old lady""]"
608,👵🏻,"[""Old Woman: Light Skin Tone""]","[""old woman""]"
609,👵🏼,"[""Old Woman: Medium-Light Skin Tone""]","[""old woman""]"
610,👵🏽,"[""Old Woman: Medium Skin Tone""]","[""old woman""]"
611,👵🏾,"[""Old Woman: Medium-Dark Skin Tone""]","[""old woman""]"
612,👵🏿,"[""Old Woman: Dark Skin Tone""]","[""old woman""]"
613,🙍,"[""Person Frowning"", ""Sad Person"", ""Woman Frowning""]","[""frowning"", ""sad person""]"
614,🙍🏻,"[""Person Frowning: Light Skin Tone""]","[""frowning""]"
615,🙍🏼,"[""Person Frowning: Medium-Light Skin Tone""]","[""frowning""]"
616,🙍🏽,"[""Person Frowning: Medium Skin Tone""]","[""frowning""]"
617,🙍🏾,"[""Person Frowning: Medium-Dark Skin Tone""]","[""frowning""]"
618,🙍🏿,"[""Person Frowning: Dark Skin Tone""]","[""frowning""]"
619,🙍‍♂️,"[""Man Frowning""]","[""frowning""]"
620,🙍‍♂,"[""Man Frowning""]","[""frowning""]"
621,🙍🏻‍♂️,"[""Man Frowning: Light Skin Tone""]","[""frowning""]"
622,🙍🏻‍♂,"[""Man Frowning: Light Skin Tone""]","[""frowning""]"
623,🙍🏼‍♂️,"[""Man Frowning: Medium-Light Skin Tone""]","[""frowning""]"
624,🙍🏼‍♂,"[""Man Frowning: Medium-Light Skin Tone""]","[""frowning""]"
625,🙍🏽‍♂️,"[""Man Frowning: Medium Skin Tone""]","[""frowning""]"
626,🙍🏽‍♂,"[""Man Frowning: Medium Skin Tone""]","[""frowning""]"
627,🙍🏾‍♂️,"[""Man Frowning: Medium-Dark Skin Tone""]","[""frowning""]"
628,🙍🏾‍♂,"[""Man Frowning: Medium-Dark Skin Tone""]","[""frowning""]"
629,🙍🏿‍♂️,"[""Man Frowning: Dark Skin Tone""]","[""frowning""]"
630,🙍🏿‍♂,"[""Man Frowning: Dark Skin Tone""]","[""frowning""]"
631,🙍‍♀️,"[""Woman Frowning""]",[]
632,🙍‍♀,"[""Woman Frowning""]",[]
633,🙍🏻‍♀️,"[""Woman Frowning: Light Skin Tone""]",[]
634,🙍🏻‍♀,"[""Woman Frowning: Light Skin Tone""]",[]
635,🙍🏼‍♀️,"[""Woman Frowning: Medium-Light Skin Tone""]",[]
636,🙍🏼‍♀,"[""Woman Frowning: Medium-Light Skin Tone""]",[]
637,🙍🏽‍♀️,"[""Woman Frowning: Medium Skin Tone""]",[]
638,🙍🏽‍♀,"[""Woman Frowning: Medium Skin Tone""]",[]
639,🙍🏾‍♀️,"[""Woman Frowning: Medium-Dark Skin Tone""]",[]
640,🙍🏾‍♀,"[""Woman Frowning: Medium-Dark Skin Tone""]",[]
641,🙍🏿‍♀️,"[""Woman Frowning: Dark Skin Tone""]",[]
642,🙍🏿‍♀,"[""Woman Frowning: Dark Skin Tone""]",[]
643,🙎,"[""Person Pouting"", ""Blank Look"", ""Fed Up""]","[""pouting"", ""blank look"", ""fed up""]"
644,🙎🏻,"[""Person Pouting: Light Skin Tone""]","[""pouting""]"
645,🙎🏼,"[""Person Pouting: Medium-Light Skin Tone""]","[""pouting""]"
646,🙎🏽,"[""Person Pouting: Medium Skin Tone""]","[""pouting""]"
647,🙎🏾,"[""Person Pouting: Medium-Dark Skin Tone""]","[""pouting""]"
648,🙎🏿,"[""Person Pouting: Dark Skin Tone""]","[""pouting""]"
649,🙎‍♂️,"[""Man Pouting""]","[""pouting""]"
650,🙎‍♂,"[""Man Pouting""]","[""pouting""]"
651,🙎🏻‍♂️,"[""Man Pouting: Light Skin Tone""]","[""pouting""]"
652,🙎🏻‍♂,"[""Man Pouting: Light Skin Tone""]","[""pouting""]"
653,🙎🏼‍♂️,"[""Man Pouting: Medium-Light Skin Tone""]","[""pouting""]"
654,🙎🏼‍♂,"[""Man Pouting: Medium-Light Skin Tone""]","[""pouting""]"
655,🙎🏽‍♂️,"[""Man Pouting: Medium Skin Tone""]","[""pouting""]"
656,🙎🏽‍♂,"[""Man Pouting: Medium Skin Tone""]","[""pouting""]"
657,🙎🏾‍♂️,"[""Man Pouting: Medium-Dark Skin Tone""]","[""pouting""]"
658,🙎🏾‍♂,"[""Man Pouting: Medium-Dark Skin Tone""]","[""pouting""]"
659,🙎🏿‍♂️,"[""Man Pouting: Dark Skin Tone""]","[""pouting""]"
660,🙎🏿‍♂,"[""Man Pouting: Dark Skin Tone""]","[""pouting""]"
661,🙎‍♀️,"[""Woman Pouting""]",[]
662,🙎‍♀,"[""Woman Pouting""]",[]
663,🙎🏻‍♀️,"[""Woman Pouting: Light Skin Tone""]",[]
664,🙎🏻‍♀,"[""Woman Pouting: Light Skin Tone""]",[]
665,🙎🏼‍♀️,"[""Woman Pouting: Medium-Light Skin Tone""]",[]
666,🙎🏼‍♀,"[""Woman Pouting: Medium-Light Skin Tone""]",[]
667,🙎🏽‍♀️,"[""Woman Pouting: Medium Skin Tone""]",[]
668,🙎🏽‍♀,"[""Woman Pouting: Medium Skin Tone""]",[]
669,🙎🏾‍♀️,"[""Woman Pouting: Medium-Dark Skin Tone""]",[]
670,🙎🏾‍♀,"[""Woman Pouting: Medium-Dark Skin Tone""]",[]
671,🙎🏿‍♀️,"[""Woman Pouting: Dark Skin Tone""]",[]
672,🙎🏿‍♀,"[""Woman Pouting: Dark Skin Tone""]",[]
673,🙅,"[""Person Gesturing No"", ""No"", ""No Deal"", ""X Arms""]","[""gesturing no"", ""no"", ""no deal"", ""x arms""]"
674,🙅🏻,"[""Person Gesturing No: Light Skin Tone""]","[""gesturing no""]"
675,🙅🏼,"[""Person Gesturing No: Medium-Light Skin Tone""]","[""gesturing no""]"
676,🙅🏽,"[""Person Gesturing No: Medium Skin Tone""]","[""gesturing no""]"
677,🙅🏾,"[""Person Gesturing No: Medium-Dark Skin Tone""]","[""gesturing no""]"
678,🙅🏿,"[""Person Gesturing No: Dark Skin Tone""]","[""gesturing no""]"
679,🙅‍♂️,"[""Man Gesturing No""]","[""gesturing no""]"
680,🙅‍♂,"[""Man Gesturing No""]","[""gesturing no""]"
681,🙅🏻‍♂️,"[""Man Gesturing No: Light Skin Tone""]","[""gesturing no""]"
682,🙅🏻‍♂,"[""Man Gesturing No: Light Skin Tone""]","[""gesturing no""]"
683,🙅🏼‍♂️,"[""Man Gesturing No: Medium-Light Skin Tone""]","[""gesturing no""]"
684,🙅🏼‍♂,"[""Man Gesturing No: Medium-Light Skin Tone""]","[""gesturing no""]"
685,🙅🏽‍♂️,"[""Man Gesturing No: Medium Skin Tone""]","[""gesturing no""]"
686,🙅🏽‍♂,"[""Man Gesturing No: Medium Skin Tone""]","[""gesturing no""]"
687,🙅🏾‍♂️,"[""Man Gesturing No: Medium-Dark Skin Tone""]","[""gesturing no""]"
688,🙅🏾‍♂,"[""Man Gesturing No: Medium-Dark Skin Tone""]","[""gesturing no""]"
689,🙅🏿‍♂️,"[""Man Gesturing No: Dark Skin Tone"", ""Wakanda Forever""]","[""gesturing no"", ""wakanda forever""]"
690,🙅🏿‍♂,"[""Man Gesturing No: Dark Skin Tone"", ""Wakanda Forever""]","[""gesturing no"", ""wakanda forever""]"
691,🙅‍♀️,"[""Woman Gesturing No""]",[]
692,🙅‍♀,"[""Woman Gesturing No""]",[]
693,🙅🏻‍♀️,"[""Woman Gesturing No: Light Skin Tone""]",[]
694,🙅🏻‍♀,"[""Woman Gesturing No: Light Skin Tone""]",[]
695,🙅🏼‍♀️,"[""Woman Gesturing No: Medium-Light Skin Tone""]",[]
696,🙅🏼‍♀,"[""Woman Gesturing No: Medium-Light Skin Tone""]",[]
697,🙅🏽‍♀️,"[""Woman Gesturing No: Medium Skin Tone""]",[]
698,🙅🏽‍♀,"[""Woman Gesturing No: Medium Skin Tone""]",[]
699,🙅🏾‍♀️,"[""Woman Gesturing No: Medium-Dark Skin Tone""]",[]
700,🙅🏾‍♀,"[""Woman Gesturing No: Medium-Dark Skin Tone""]",[]
701,🙅🏿‍♀️,"[""Woman Gesturing No: Dark Skin Tone""]",[]
702,🙅🏿‍♀,"[""Woman Gesturing No: Dark Skin Tone""]",[]
703,🙆,"[""Person Gesturing OK"", ""Ballerina"", ""Hands On Head""]","[""gesturing ok"", ""ballerina"", ""hands on head""]"
704,🙆🏻,"[""Person Gesturing OK: Light Skin Tone""]","[""gesturing ok""]"
705,🙆🏼,"[""Person Gesturing OK: Medium-Light Skin Tone""]","[""gesturing ok""]"
706,🙆🏽,"[""Person Gesturing OK: Medium Skin Tone""]","[""gesturing ok""]"
707,🙆🏾,"[""Person Gesturing OK: Medium-Dark Skin Tone""]","[""gesturing ok""]"
708,🙆🏿,"[""Person Gesturing OK: Dark Skin Tone""]","[""gesturing ok""]"
709,🙆‍♂️,"[""Man Gesturing OK""]","[""gesturing ok""]"
710,🙆‍♂,"[""Man Gesturing OK""]","[""gesturing ok""]"
711,🙆🏻‍♂️,"[""Man Gesturing OK: Light Skin Tone""]","[""gesturing ok""]"
712,🙆🏻‍♂,"[""Man Gesturing OK: Light Skin Tone""]","[""gesturing ok""]"
713,🙆🏼‍♂️,"[""Man Gesturing OK: Medium-Light Skin Tone""]","[""gesturing ok""]"
714,🙆🏼‍♂,"[""Man Gesturing OK: Medium-Light Skin Tone""]","[""gesturing ok""]"
715,🙆🏽‍♂️,"[""Man Gesturing OK: Medium Skin Tone""]","[""gesturing ok""]"
716,🙆🏽‍♂,"[""Man Gesturing OK: Medium Skin Tone""]","[""gesturing ok""]"
717,🙆🏾‍♂️,"[""Man Gesturing OK: Medium-Dark Skin Tone""]","[""gesturing ok""]"
718,🙆🏾‍♂,"[""Man Gesturing OK: Medium-Dark Skin Tone""]","[""gesturing ok""]"
719,🙆🏿‍♂️,"[""Man Gesturing OK: Dark Skin Tone""]","[""gesturing ok""]"
720,🙆🏿‍♂,"[""Man Gesturing OK: Dark Skin Tone""]","[""gesturing ok""]"
721,🙆‍♀️,"[""Woman Gesturing OK""]",[]
722,🙆‍♀,"[""Woman Gesturing OK""]",[]
723,🙆🏻‍♀️,"[""Woman Gesturing OK: Light Skin Tone""]",[]
724,🙆🏻‍♀,"[""Woman Gesturing OK: Light Skin Tone""]",[]
725,🙆🏼‍♀️,"[""Woman Gesturing OK: Medium-Light Skin Tone""]",[]
726,🙆🏼‍♀,"[""Woman Gesturing OK: Medium-Light Skin Tone""]",[]
727,🙆🏽‍♀️,"[""Woman Gesturing OK: Medium Skin Tone""]",[]
728,🙆🏽‍♀,"[""Woman Gesturing OK: Medium Skin Tone""]",[]
729,🙆🏾‍♀️,"[""Woman Gesturing OK: Medium-Dark Skin Tone""]",[]
730,🙆🏾‍♀,"[""Woman Gesturing OK: Medium-Dark Skin Tone""]",[]
731,🙆🏿‍♀️,"[""Woman Gesturing OK: Dark Skin Tone""]",[]
732,🙆🏿‍♀,"[""Woman Gesturing OK: Dark Skin Tone""]",[]
733,💁,"[""Person Tipping Hand"", ""Bellhop"", ""Concierge"", ""Hair Flick"", ""Sassy Girl""]","[""tipping"", ""bellhop"", ""concierge"", ""hair flick"", ""sassy girl""]"
734,💁🏻,"[""Person Tipping Hand: Light Skin Tone""]","[""tipping""]"
735,💁🏼,"[""Person Tipping Hand: Medium-Light Skin Tone""]","[""tipping""]"
736,💁🏽,"[""Person Tipping Hand: Medium Skin Tone""]","[""tipping""]"
737,💁🏾,"[""Person Tipping Hand: Medium-Dark Skin Tone""]","[""tipping""]"
738,💁🏿,"[""Person Tipping Hand: Dark Skin Tone""]","[""tipping""]"
739,💁‍♂️,"[""Man Tipping Hand""]","[""tipping""]"
740,💁‍♂,"[""Man Tipping Hand""]","[""tipping""]"
741,💁🏻‍♂️,"[""Man Tipping Hand: Light Skin Tone""]","[""tipping""]"
742,💁🏻‍♂,"[""Man Tipping Hand: Light Skin Tone""]","[""tipping""]"
743,💁🏼‍♂️,"[""Man Tipping Hand: Medium-Light Skin Tone""]","[""tipping""]"
744,💁🏼‍♂,"[""Man Tipping Hand: Medium-Light Skin Tone""]","[""tipping""]"
745,💁🏽‍♂️,"[""Man Tipping Hand: Medium Skin Tone""]","[""tipping""]"
746,💁🏽‍♂,"[""Man Tipping Hand: Medium Skin Tone""]","[""tipping""]"
747,💁🏾‍♂️,"[""Man Tipping Hand: Medium-Dark Skin Tone""]","[""tipping""]"
748,💁🏾‍♂,"[""Man Tipping Hand: Medium-Dark Skin Tone""]","[""tipping""]"
749,💁🏿‍♂️,"[""Man Tipping Hand: Dark Skin Tone""]","[""tipping""]"
750,💁🏿‍♂,"[""Man Tipping Hand: Dark Skin Tone""]","[""tipping""]"
751,💁‍♀️,"[""Woman Tipping Hand""]",[]
752,💁‍♀,"[""Woman Tipping Hand""]",[]
753,💁🏻‍♀️,"[""Woman Tipping Hand: Light Skin Tone""]",[]
754,💁🏻‍♀,"[""Woman Tipping Hand: Light Skin Tone""]",[]
755,💁🏼‍♀️,"[""Woman Tipping Hand: Medium-Light Skin Tone""]",[]
756,💁🏼‍♀,"[""Woman Tipping Hand: Medium-Light Skin Tone""]",[]
757,💁🏽‍♀️,"[""Woman Tipping Hand: Medium Skin Tone""]",[]
758,💁🏽‍♀,"[""Woman Tipping Hand: Medium Skin Tone""]",[]
759,💁🏾‍♀️,"[""Woman Tipping Hand: Medium-Dark Skin Tone""]",[]
760,💁🏾‍♀,"[""Woman Tipping Hand: Medium-Dark Skin Tone""]",[]
761,💁🏿‍♀️,"[""Woman Tipping Hand: Dark Skin Tone""]",[]
762,💁🏿‍♀,"[""Woman Tipping Hand: Dark Skin Tone""]",[]
763,🙋,"[""Person Raising Hand"", ""Answering Question"", ""Hand Up""]","[""raising"", ""answering question"", ""hand up""]"
764,🙋🏻,"[""Person Raising Hand: Light Skin Tone""]","[""raising""]"
765,🙋🏼,"[""Person Raising Hand: Medium-Light Skin Tone""]","[""raising""]"
766,🙋🏽,"[""Person Raising Hand: Medium Skin Tone""]","[""raising""]"
767,🙋🏾,"[""Person Raising Hand: Medium-Dark Skin Tone""]","[""raising""]"
768,🙋🏿,"[""Person Raising Hand: Dark Skin Tone""]","[""raising""]"
769,🙋‍♂️,"[""Man Raising Hand""]","[""raising""]"
770,🙋‍♂,"[""Man Raising Hand""]","[""raising""]"
771,🙋🏻‍♂️,"[""Man Raising Hand: Light Skin Tone""]","[""raising""]"
772,🙋🏻‍♂,"[""Man Raising Hand: Light Skin Tone""]","[""raising""]"
773,🙋🏼‍♂️,"[""Man Raising Hand: Medium-Light Skin Tone""]","[""raising""]"
774,🙋🏼‍♂,"[""Man Raising Hand: Medium-Light Skin Tone""]","[""raising""]"
775,🙋🏽‍♂️,"[""Man Raising Hand: Medium Skin Tone""]","[""raising""]"
776,🙋🏽‍♂,"[""Man Raising Hand: Medium Skin Tone""]","[""raising""]"
777,🙋🏾‍♂️,"[""Man Raising Hand: Medium-Dark Skin Tone""]","[""raising""]"
778,🙋🏾‍♂,"[""Man Raising Hand: Medium-Dark Skin Tone""]","[""raising""]"
779,🙋🏿‍♂️,"[""Man Raising Hand: Dark Skin Tone""]","[""raising""]"
780,🙋🏿‍♂,"[""Man Raising Hand: Dark Skin Tone""]","[""raising""]"
781,🙋‍♀️,"[""Woman Raising Hand""]",[]
782,🙋‍♀,"[""Woman Raising Hand""]",[]
783,🙋🏻‍♀️,"[""Woman Raising Hand: Light Skin Tone""]",[]
784,🙋🏻‍♀,"[""Woman Raising Hand: Light Skin Tone""]",[]
785,🙋🏼‍♀️,"[""Woman Raising Hand: Medium-Light Skin Tone""]",[]
786,🙋🏼‍♀,"[""Woman Raising Hand: Medium-Light Skin Tone""]",[]
787,🙋🏽‍♀️,"[""Woman Raising Hand: Medium Skin Tone""]",[]
788,🙋🏽‍♀,"[""Woman Raising Hand: Medium Skin Tone""]",[]
789,🙋🏾‍♀️,"[""Woman Raising Hand: Medium-Dark Skin Tone""]",[]
790,🙋🏾‍♀,"[""Woman Raising Hand: Medium-Dark Skin Tone""]",[]
791,🙋🏿‍♀️,"[""Woman Raising Hand: Dark Skin Tone""]",[]
792,🙋🏿‍♀,"[""Woman Raising Hand: Dark Skin Tone""]",[]
793,🧏,"[""Deaf Person""]","[""deaf person""]"
794,🧏🏻,"[""Deaf Person: Light Skin Tone""]","[""deaf person""]"
795,🧏🏼,"[""Deaf Person: Medium-Light Skin Tone""]","[""deaf person""]"
796,🧏🏽,"[""Deaf Person: Medium Skin Tone""]","[""deaf person""]"
797,🧏🏾,"[""Deaf Person: Medium-Dark Skin Tone""]","[""deaf person""]"
798,🧏🏿,"[""Deaf Person: Dark Skin Tone""]","[""deaf person""]"
799,🧏‍♂️,"[""Deaf Man""]","[""deaf man""]"
800,🧏‍♂,"[""Deaf Man""]","[""deaf man""]"
801,🧏🏻‍♂️,"[""Deaf Man: Light Skin Tone""]","[""deaf man""]"
802,🧏🏻‍♂,"[""Deaf Man: Light Skin Tone""]","[""deaf man""]"
803,🧏🏼‍♂️,"[""Deaf Man: Medium-Light Skin Tone""]","[""deaf man""]"
804,🧏🏼‍♂,"[""Deaf Man: Medium-Light Skin Tone""]","[""deaf man""]"
805,🧏🏽‍♂️,"[""Deaf Man: Medium Skin Tone""]","[""deaf man""]"
806,🧏🏽‍♂,"[""Deaf Man: Medium Skin Tone""]","[""deaf man""]"
807,🧏🏾‍♂️,"[""Deaf Man: Medium-Dark Skin Tone""]","[""deaf man""]"
808,🧏🏾‍♂,"[""Deaf Man: Medium-Dark Skin Tone""]","[""deaf man""]"
809,🧏🏿‍♂️,"[""Deaf Man: Dark Skin Tone""]","[""deaf man""]"
810,🧏🏿‍♂,"[""Deaf Man: Dark Skin Tone""]","[""deaf man""]"
811,🧏‍♀️,"[""Deaf Woman""]","[""deaf woman""]"
812,🧏‍♀,"[""Deaf Woman""]","[""deaf woman""]"
813,🧏🏻‍♀️,"[""Deaf Woman: Light Skin Tone""]","[""deaf woman""]"
814,🧏🏻‍♀,"[""Deaf Woman: Light Skin Tone""]","[""deaf woman""]"
815,🧏🏼‍♀️,"[""Deaf Woman: Medium-Light Skin Tone""]","[""deaf woman""]"
816,🧏🏼‍♀,"[""Deaf Woman: Medium-Light Skin Tone""]","[""deaf woman""]"
817,🧏🏽‍♀️,"[""Deaf Woman: Medium Skin Tone""]","[""deaf woman""]"
