,emoji,meanings_ru,synsets,synsets_names
3482,⚓,"['анкер', 'admiralty паттерн якорь', 'рыбак']","[""109239-N"", ""107233-N"", ""142763-N"", ""126289-N"", ""4886-N""]","[""СУДОВОЙ ЯКОРЬ"", ""СТЕРЖЕНЬ (ПРЕДМЕТ)"", ""ЧАСТЬ СУДНА"", ""СУДОВОЙ ЯКОРЬ"", ""СТЕРЖЕНЬ (ПРЕДМЕТ)"", ""ЧАСТЬ СУДНА"", ""ЛОВЕЦ (ЧЕЛОВЕК)"", ""РЫБАК""]"
3483,⛵,"['парусная лодка', 'dinghy', 'яхта']","[""5030-N"", ""5028-N"", ""8914-N"", ""6641-N"", ""5028-N"", ""5029-N""]","[""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ПАРУСНОЕ СУДНО"", ""СПОРТИВНОЕ СУДНО"", ""МАЛОМЕРНОЕ СУДНО"", ""ЯХТА""]"
3484,🛶,['каноэ'],"[""6641-N"", ""108790-N"", ""145991-N""]","[""СПОРТИВНОЕ СУДНО"", ""КАНОЭ"", ""ГРЕБНАЯ ЛОДКА""]"
3485,🚤,"['Скоростная лодка', 'моторная лодка', 'Powerboat']","[""5030-N"", ""5028-N"", ""5030-N"", ""5028-N""]","[""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО"", ""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО""]"
3486,🛳️,['пассажирский корабль'],"[""2149-A"", ""176-A"", ""126792-N"", ""209-N""]","[""ЧЕЛОВЕК"", ""ПАССАЖИР"", ""ЧЕЛОВЕК"", ""ПАССАЖИР"", ""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА""]"
3487,🛳,['пассажирский корабль'],"[""2149-A"", ""176-A"", ""126792-N"", ""209-N""]","[""ЧЕЛОВЕК"", ""ПАССАЖИР"", ""ЧЕЛОВЕК"", ""ПАССАЖИР"", ""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА""]"
3488,⛴️,['паром'],"[""6617-N"", ""8279-N"", ""209-N""]","[""ПАССАЖИРСКОЕ СУДНО"", ""ПАРОМ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА""]"
3489,⛴,['паром'],"[""6617-N"", ""8279-N"", ""209-N""]","[""ПАССАЖИРСКОЕ СУДНО"", ""ПАРОМ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА""]"
3490,🛥️,['моторная лодка'],"[""5030-N"", ""5028-N""]","[""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО""]"
3491,🛥,['моторная лодка'],"[""5030-N"", ""5028-N""]","[""ЛОДКА"", ""МАЛОМЕРНОЕ СУДНО""]"
3492,🚢,"['корабль', 'Круиз', 'круизный корабль']","[""126792-N"", ""209-N"", ""143590-N"", ""5920-N"", ""137121-N"", ""109570-N"", ""1489-A"", ""109570-A"", ""106587-A"", ""106501-A"", ""5920-A"", ""126792-N"", ""209-N""]","[""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА"", ""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА"", ""ТУРИСТИЧЕСКАЯ ПОЕЗДКА"", ""ПУТЕШЕСТВИЕ"", ""РАЗВЛЕКАТЕЛЬНАЯ ПОЕЗДКА"", ""КРУИЗ"", ""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА"", ""ТУРИСТИЧЕСКАЯ ПОЕЗДКА"", ""ПУТЕШЕСТВИЕ"", ""РАЗВЛЕКАТЕЛЬНАЯ ПОЕЗДКА"", ""КРУИЗ"", ""ОТДЫХ"", ""КРУИЗ"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ"", ""ПУТЕШЕСТВИЕ"", ""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА"", ""ТУРИСТИЧЕСКАЯ ПОЕЗДКА"", ""ПУТЕШЕСТВИЕ"", ""РАЗВЛЕКАТЕЛЬНАЯ ПОЕЗДКА"", ""КРУИЗ"", ""ОТДЫХ"", ""КРУИЗ"", ""ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"", ""ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ"", ""ПУТЕШЕСТВИЕ"", ""БОЛЬШОЙ КОРАБЛЬ"", ""ВОДНЫЕ СРЕДСТВА ТРАНСПОРТА""]"
3493,✈️,"['самолет', 'аэроплан', 'самолет']","[""212-N"", ""137876-N"", ""142555-N"", ""139405-N"", ""212-N"", ""212-N"", ""137876-N"", ""142555-N""]","[""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""АЭРОПЛАН (ПРОСТЕЙШИЙ САМОЛЕТ)"", ""САМОЛЕТ"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""АЭРОПЛАН (ПРОСТЕЙШИЙ САМОЛЕТ)"", ""САМОЛЕТ"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО""]"
3494,✈,"['самолет', 'аэроплан', 'самолет']","[""212-N"", ""137876-N"", ""142555-N"", ""139405-N"", ""212-N"", ""212-N"", ""137876-N"", ""142555-N""]","[""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""АЭРОПЛАН (ПРОСТЕЙШИЙ САМОЛЕТ)"", ""САМОЛЕТ"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""АЭРОПЛАН (ПРОСТЕЙШИЙ САМОЛЕТ)"", ""САМОЛЕТ"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО""]"
3495,🛩️,"['небольшой самолет', 'небольшой самолет', 'небольшой самолет']","[""114022-A"", ""106768-A"", ""212-N"", ""137876-N"", ""142555-N"", ""114022-A"", ""106768-A"", ""212-N"", ""137876-N"", ""142555-N"", ""114022-A"", ""106768-A"", ""212-N"", ""137876-N"", ""142555-N""]","[""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО""]"
3496,🛩,"['небольшой самолет', 'небольшой самолет', 'небольшой самолет']","[""114022-A"", ""106768-A"", ""212-N"", ""137876-N"", ""142555-N"", ""114022-A"", ""106768-A"", ""212-N"", ""137876-N"", ""142555-N"", ""114022-A"", ""106768-A"", ""212-N"", ""137876-N"", ""142555-N""]","[""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""НЕБОЛЬШОЙ, МАЛЫЙ"", ""СВОЙСТВО, ХАРАКТЕРИСТИКА"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО""]"
3497,🛫,"['вылет самолета', 'aeroplane снято', 'самолет снимается']","[""123422-N"", ""133504-N"", ""212-N"", ""137876-N"", ""142555-N""]","[""ВЫБЫТЬ, УБЫТЬ"", ""ОТСЕЯТЬСЯ ИЗ СОСТАВА, УЧАСТНИКОВ"", ""ВЫБЫТЬ, УБЫТЬ"", ""ОТСЕЯТЬСЯ ИЗ СОСТАВА, УЧАСТНИКОВ"", ""ВЫБЫТЬ, УБЫТЬ"", ""ОТСЕЯТЬСЯ ИЗ СОСТАВА, УЧАСТНИКОВ"", ""ВЫБЫТЬ, УБЫТЬ"", ""ОТСЕЯТЬСЯ ИЗ СОСТАВА, УЧАСТНИКОВ"", ""ВЫБЫТЬ, УБЫТЬ"", ""ОТСЕЯТЬСЯ ИЗ СОСТАВА, УЧАСТНИКОВ"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""ВЫБЫТЬ, УБЫТЬ"", ""ОТСЕЯТЬСЯ ИЗ СОСТАВА, УЧАСТНИКОВ"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО""]"
3498,🛬,"['прибытие самолета', 'aeroplane посадка', 'самолет посадка']","[""153471-N"", ""115524-N"", ""134039-N"", ""134040-N"", ""212-N"", ""137876-N"", ""142555-N"", ""134039-N"", ""134040-N""]","[""ПРОИСХОДЯЩАЯ СУЩНОСТЬ"", ""ПРИБЫТИЕ НА МЕСТО"", ""ПРОИСХОДЯЩАЯ СУЩНОСТЬ"", ""ПРИБЫТИЕ НА МЕСТО"", ""ПРОИСХОДЯЩАЯ СУЩНОСТЬ"", ""ПРИБЫТИЕ НА МЕСТО"", ""ПРОИСХОДЯЩАЯ СУЩНОСТЬ"", ""ПРИБЫТИЕ НА МЕСТО"", ""ПОСТАНОВКА (МАНЕРА ДЕРЖАТЬ ЧАСТЬ ТЕЛА)"", ""ПОСАДКА (МАНЕРА ДЕРЖАТЬСЯ)"", ""ПРОИСХОДЯЩАЯ СУЩНОСТЬ"", ""ПРИБЫТИЕ НА МЕСТО"", ""ПОСТАНОВКА (МАНЕРА ДЕРЖАТЬ ЧАСТЬ ТЕЛА)"", ""ПОСАДКА (МАНЕРА ДЕРЖАТЬСЯ)"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""ПРОИСХОДЯЩАЯ СУЩНОСТЬ"", ""ПРИБЫТИЕ НА МЕСТО"", ""ПОСТАНОВКА (МАНЕРА ДЕРЖАТЬ ЧАСТЬ ТЕЛА)"", ""ПОСАДКА (МАНЕРА ДЕРЖАТЬСЯ)"", ""САМОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""ПОСТАНОВКА (МАНЕРА ДЕРЖАТЬ ЧАСТЬ ТЕЛА)"", ""ПОСАДКА (МАНЕРА ДЕРЖАТЬСЯ)""]"
3499,🪂,['парашют'],"[""4283-N"", ""106553-N""]","[""ПАРАШЮТ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ""]"
3500,💺,"['место', 'аэропланное кресло', 'сидение самолета', 'автобусное кресло', 'Железнодорожное кресло']","[""107135-N"", ""106611-N"", ""106451-N"", ""107295-N"", ""107296-N"", ""6166-N"", ""106451-N"", ""106553-N"", ""126467-N"", ""107295-N"", ""107296-N"", ""6166-N"", ""107295-N"", ""107296-N"", ""6166-N""]","[""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ"", ""СИДЕНИЕ (МЕСТО)"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ"", ""СИДЕНИЕ (МЕСТО)"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ"", ""СИДЕНИЕ (МЕСТО)"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ"", ""СИДЕНИЕ (МЕСТО)"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ"", ""СИДЕНИЕ (МЕСТО)"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""ТЕРРИТОРИЯ, УЧАСТОК"", ""МЕСТО, МЕСТНОСТЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""МЕСТО В ПРОСТРАНСТВЕ"", ""ПРИСПОСОБЛЕНИЕ, ИНСТРУМЕНТ"", ""СИДЕНИЕ (МЕСТО)"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ"", ""СТУЛ (ПРЕДМЕТ МЕБЕЛИ)"", ""КРЕСЛО"", ""МЯГКАЯ МЕБЕЛЬ""]"
3501,🚁,['вертолет'],"[""142555-N"", ""213-N"", ""137876-N"", ""8728-N""]","[""АВИАТРАНСПОРТНОЕ СРЕДСТВО"", ""ВЕРТОЛЕТ"", ""АВИАЦИОННАЯ ТЕХНИКА"", ""ПИЛОТИРУЕМЫЙ ЛЕТАТЕЛЬНЫЙ АППАРАТ""]"
3502,🚟,['подвесная железная дорога'],"[""167-N"", ""107510-N"", ""109215-N""]","[""ПУТИ СООБЩЕНИЯ"", ""ПОЛОСА (УЧАСТОК)"", ""ДОРОГА (ПУТЬ СООБЩЕНИЯ)""]"
3503,🚠,['горная канатная дорога'],"[""167-N"", ""107510-N"", ""109215-N""]","[""ПУТИ СООБЩЕНИЯ"", ""ПОЛОСА (УЧАСТОК)"", ""ДОРОГА (ПУТЬ СООБЩЕНИЯ)""]"
3504,🚡,"['воздушный трамвай', 'Кабельный автомобиль', 'Гондола', 'канатная дорога']","[""461-A"", ""109942-A"", ""109704-A"", ""144362-N"", ""191-N"", ""169-N"", ""179-N"", ""193-N"", ""4708-A"", ""113623-A"", ""154-N"", ""4029-N"", ""107038-N"", ""125916-N"", ""167-N"", ""107510-N"", ""109215-N""]","[""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ПАССАЖИРСКОЕ ТРАНСПОРТНОЕ СРЕДСТВО"", ""ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ"", ""ТРАНСПОРТНОЕ СРЕДСТВО"", ""НАЗЕМНЫЙ ТРАНСПОРТ"", ""ТРАМВАЙНЫЙ ТРАНСПОРТ"", ""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ПАССАЖИРСКОЕ ТРАНСПОРТНОЕ СРЕДСТВО"", ""ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ"", ""ТРАНСПОРТНОЕ СРЕДСТВО"", ""НАЗЕМНЫЙ ТРАНСПОРТ"", ""ТРАМВАЙНЫЙ ТРАНСПОРТ"", ""КАБЕЛЬ"", ""ПРОВОД"", ""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ПАССАЖИРСКОЕ ТРАНСПОРТНОЕ СРЕДСТВО"", ""ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ"", ""ТРАНСПОРТНОЕ СРЕДСТВО"", ""НАЗЕМНЫЙ ТРАНСПОРТ"", ""ТРАМВАЙНЫЙ ТРАНСПОРТ"", ""КАБЕЛЬ"", ""ПРОВОД"", ""АВТОМОБИЛЬ"", ""АВТОМОТОТРАНСПОРТНОЕ СРЕДСТВО"", ""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ПАССАЖИРСКОЕ ТРАНСПОРТНОЕ СРЕДСТВО"", ""ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ"", ""ТРАНСПОРТНОЕ СРЕДСТВО"", ""НАЗЕМНЫЙ ТРАНСПОРТ"", ""ТРАМВАЙНЫЙ ТРАНСПОРТ"", ""КАБЕЛЬ"", ""ПРОВОД"", ""АВТОМОБИЛЬ"", ""АВТОМОТОТРАНСПОРТНОЕ СРЕДСТВО"", ""ВМЕСТИЛИЩЕ"", ""ГОНДОЛА АЭРОСТАТА"", ""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ПАССАЖИРСКОЕ ТРАНСПОРТНОЕ СРЕДСТВО"", ""ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ"", ""ТРАНСПОРТНОЕ СРЕДСТВО"", ""НАЗЕМНЫЙ ТРАНСПОРТ"", ""ТРАМВАЙНЫЙ ТРАНСПОРТ"", ""КАБЕЛЬ"", ""ПРОВОД"", ""АВТОМОБИЛЬ"", ""АВТОМОТОТРАНСПОРТНОЕ СРЕДСТВО"", ""ВМЕСТИЛИЩЕ"", ""ГОНДОЛА АЭРОСТАТА"", ""ГАЗООБРАЗНОЕ ВЕЩЕСТВО"", ""АТМОСФЕРНЫЙ ВОЗДУХ"", ""СМЕСЬ (ВЕЩЕСТВО)"", ""ПАССАЖИРСКОЕ ТРАНСПОРТНОЕ СРЕДСТВО"", ""ГОРОДСКОЙ ЭЛЕКТРИЧЕСКИЙ ТРАНСПОРТ"", ""ТРАНСПОРТНОЕ СРЕДСТВО"", ""НАЗЕМНЫЙ ТРАНСПОРТ"", ""ТРАМВАЙНЫЙ ТРАНСПОРТ"", ""КАБЕЛЬ"", ""ПРОВОД"", ""АВТОМОБИЛЬ"", ""АВТОМОТОТРАНСПОРТНОЕ СРЕДСТВО"", ""ВМЕСТИЛИЩЕ"", ""ГОНДОЛА АЭРОСТАТА"", ""ПУТИ СООБЩЕНИЯ"", ""ПОЛОСА (УЧАСТОК)"", ""ДОРОГА (ПУТЬ СООБЩЕНИЯ)""]"
3505,🛰️,['спутник'],"[""1023-N"", ""2497-N""]","[""КОСМИЧЕСКИЙ АППАРАТ"", ""ИСКУССТВЕННЫЙ СПУТНИК ЗЕМЛИ""]"
3506,🛰,['спутник'],"[""1023-N"", ""2497-N""]","[""КОСМИЧЕСКИЙ АППАРАТ"", ""ИСКУССТВЕННЫЙ СПУТНИК ЗЕМЛИ""]"
